symbol,price,price_change,price_percent_change
ULY,6.64,1.97,42.18
SSII,11.35,3.35,41.87
JAGX,10.76,2.69,33.44
CEP,31.22,6.42,25.89
SAIH,6.81,1.41,26.11
BBAI,3.54,0.63,21.65
CSIQ,11.14,1.86,20.10
EPWK,12.95,2.05,18.81
NEOV,2.69,0.41,17.98
SPPL,4.04,0.54,15.51
BUJA,12.41,1.61,14.91
UPXI,15.43,1.91,14.13
CMCT,5.17,0.63,13.84
COUR,8.74,1.04,13.57
SXT,90.91,10.77,13.44
HONE,11.32,1.25,12.48
EHC,113.35,11.94,11.77
NDRA,3.85,0.40,11.59
LBRDK,86.26,8.90,11.51
CHTR,373.54,38.21,11.39
DMYY,13.40,1.36,11.30
MCRB,10.15,1.07,11.78
LBRDA,84.99,8.49,11.10
UPC,4.21,0.41,10.79
SPIR,10.65,1.03,10.71
MYNZ,3.54,0.34,10.62
NIU,3.53,0.34,10.66
DAIO,2.33,0.22,10.43
NTGR,24.76,2.33,10.39
ARRY,5.02,0.46,10.09
CORZ,8.30,0.77,10.23
ALTS,6.37,0.58,10.02
SNOA,4.22,0.36,9.33
TSLA,284.89,25.38,9.78
EVLV,3.88,0.34,9.77
ZDGE,2.52,0.22,9.47
INHD,8.48,0.73,9.42
SPHR,28.96,2.50,9.43
NAYA,2.21,0.18,8.87
NEON,11.02,0.89,8.79
CRNC,9.71,0.78,8.73
EPSM,7.54,0.60,8.68
AISP,4.00,0.32,8.55
HDSN,6.24,0.49,8.52
RETO,3.90,0.30,8.24
BWLP,10.52,0.80,8.23
QUIK,5.33,0.40,8.11
VRSN,272.79,20.20,8.00
FPH,5.61,0.41,7.88
CODA,6.71,0.49,7.88
OBIO,2.78,0.20,7.75
VTSI,4.04,0.29,7.73
RMNI,3.50,0.24,7.54
INDV,11.56,0.81,7.48
MAZE,8.28,0.57,7.47
MBOT,2.61,0.18,7.41
PRCH,5.89,0.40,7.29
SEDG,12.56,0.84,7.21
EOSE,5.22,0.34,7.07
SHLS,3.64,0.24,7.06
FLNC,4.18,0.27,6.91
GSHD,99.57,6.38,6.85
RRGB,2.74,0.17,6.84
AMRC,10.74,0.69,6.81
CNCK,7.85,0.50,6.80
SCLX,4.73,0.30,6.77
SMLR,36.77,2.33,6.77
MYFW,20.12,1.27,6.74
SNBR,7.01,0.44,6.70
SOBR,3.62,0.23,6.69
PENN,16.16,1.01,6.67
KZIA,3.64,0.22,6.51
STBX,2.15,0.13,6.44
MMLP,3.08,0.18,6.21
XGN,6.20,0.35,5.98
SKYT,7.71,0.43,5.91
OM,11.54,0.68,6.26
PHVS,16.75,0.92,5.81
MOGU,2.21,0.12,5.74
LOAR,97.08,5.24,5.70
LU,3.12,0.17,5.59
STIM,4.47,0.23,5.54
AMPY,2.68,0.14,5.51
FIX,396.90,20.69,5.50
AREN,4.83,0.25,5.46
CPS,14.12,0.72,5.41
HHS,4.67,0.24,5.41
RDDT,118.22,5.97,5.32
RUN,7.42,0.37,5.25
MSTR,368.67,18.33,5.23
CRCT,4.72,0.23,5.23
TARA,4.32,0.21,5.23
CRSR,7.47,0.37,5.20
LPG,22.07,1.09,5.20
LXU,5.64,0.28,5.13
ORC,7.28,0.35,5.12
DXF,6.78,0.33,5.12
ARDX,5.28,0.26,5.08
DAR,32.00,1.54,5.07
MRX,42.73,2.05,5.04
