Symbol,Name,Last Price,Change,Change %
AEXAY,Atos Origin SA,9.0,8.9991,999900.0
PONY,Pony AI Inc.,10.425,3.415,48.716118
SQNNY,"Square Enix Co., Ltd.",25.22,4.3199997,20.669855
TXHPF,Technopro Holdings Inc.,20.035,2.0349998,11.305554
ADMA,ADMA Biologics Inc,24.15,2.289999,10.47575
VEON,VEON Ltd.,46.13,3.5,8.235275
HTHIY,Hitachi Ltd.,28.5,2.1299992,8.0834875
GMVHY,ENTAIN PLC,8.4,0.5899997,7.554414
SMMT,Summit Therapeutics Inc.,25.05,1.5849991,6.7590575
RVMD,"Revolution Medicines, Inc.",41.29,2.5200005,6.499872
BHVN,Biohaven Ltd.,20.955,1.1149998,5.6199584
LKNCY,Luckin Coffee Inc.,34.82,1.829998,5.547129
CX,"Cemex, S.A.B. de C.V. Sponsored",6.2152,0.29519987,4.986484
ANGPY,Anglo American Platinum Ltd.,5.86,0.26000023,4.6428614
FRGE,"Forge Global Holdings, Inc.",13.23,0.5199995,4.091263
BBWI,"Bath & Body Works, Inc.",30.875,1.2950001,4.3779583
BZ,KANZHUN LIMITED - American Depo,14.965,0.6050005,4.2130957
ZK,ZEEKR Intelligent Technology Ho,21.895,0.89500046,4.261907
OTLY,Oatly Group AB,9.68,0.3800001,4.086023
VRNA,Verona Pharma plc,68.09,2.6299973,4.0177164
W,Wayfair Inc.,30.36,1.1100006,3.794874
IMVT,"Immunovant, Inc.",15.305,0.58500004,3.974185
RIVN,"Rivian Automotive, Inc.",13.085,0.46500015,3.6846287
LI,Li Auto Inc.,24.34,0.8600006,3.6626942
SNAP,Snap Inc.,8.835,0.29500008,3.4543335
IFS,Intercorp Financial Services In,33.255,1.125,3.5014005
LB,LandBridge Company LLC,74.4229,2.4228973,3.3651352
HCM,HUTCHMED (China) Limited,15.09,0.4800005,3.2854245
MNSO,MINISO Group Holding Limited,17.61,0.5600014,3.2844658
SWTX,"SpringWorks Therapeutics, Inc.",46.18,1.4599991,3.2647564
OGN,Organon & Co.,12.595,0.39500046,3.2377088
IRDM,Iridium Communications Inc,23.88,0.7199993,3.1088054
RITM,Rithm Capital Corp.,10.87,0.32999992,3.132415
QXO,"QXO, Inc.",13.275,0.3949995,3.0667663
