Symbol,Name,Last Price,Change,Change %
PONY,Pony AI Inc.,10.32,3.3099995,47.21825
SQNNY,"Square Enix Co., Ltd.",25.45,4.550001,21.770342
ADMA,ADMA Biologics Inc,24.49,2.6299992,12.031102
TXHPF,Technopro Holdings Inc.,20.035,2.0349998,11.305554
BHVN,Biohaven Ltd.,21.735,1.8950005,9.551414
OVHFF,OVH GROUPE,13.75,1.1000004,8.695656
GMVHY,ENTAIN PLC,8.4,0.5899997,7.554414
OTLY,Oatly Group AB,10.0,0.6999998,7.52688
VEON,VEON Ltd.,45.6,2.9699974,6.966919
RVMD,"Revolution Medicines, Inc.",41.47,2.7000008,6.9641495
HPH,Highest Performances Holdings I,8.17,0.48000002,6.2418723
LKNCY,Luckin Coffee Inc.,35.0,2.0099983,6.09275
W,Wayfair Inc.,31.02,1.7700005,6.051284
AUR,"Aurora Innovation, Inc.",7.255,0.375,5.450581
BBWI,"Bath & Body Works, Inc.",31.21,1.6299992,5.510477
VRNA,Verona Pharma plc,68.844,3.3840027,5.1695733
HTHIY,Hitachi Ltd.,27.76,1.3899994,5.271139
ZK,ZEEKR Intelligent Technology Ho,22.045,1.0450001,4.976191
APPF,"AppFolio, Inc.",201.66,9.639999,5.02031
PTON,"Peloton Interactive, Inc.",6.6,0.30999994,4.928457
ANGPY,Anglo American Platinum Ltd.,5.87,0.26999998,4.8214283
IMVT,"Immunovant, Inc.",15.42,0.6999998,4.7586665
SEM,Select Medical Holdings Corpora,18.11,0.7600002,4.3804045
NXE,Nexgen Energy Ltd.,5.325,0.2249999,4.4117627
RIVN,"Rivian Automotive, Inc.",13.19,0.5699997,4.516638
BRPHF,Galaxy Digital Holdings Ltd.,15.5,0.65999985,4.4474382
IFS,Intercorp Financial Services In,33.61,1.4799995,4.6062856
OGN,Organon & Co.,12.725,0.5250006,4.303283
IRDM,Iridium Communications Inc,24.15,0.9899998,4.2746105
MATX,"Matson, Inc.",106.66,4.2800064,4.1805105
FRGE,"Forge Global Holdings, Inc.",13.26,0.5500002,4.325601
CX,"Cemex, S.A.B. de C.V. Sponsored",6.18,0.25999975,4.3918877
RITM,Rithm Capital Corp.,10.965,0.4250002,4.03226
SNAP,Snap Inc.,8.85,0.31000042,3.6299815
AU,AngloGold Ashanti PLC,41.25,1.6500015,4.166671
MRUS,Merus N.V.,45.27,1.7000008,3.9017692
VKTX,"Viking Therapeutics, Inc.",25.94,0.95000076,3.8015237
QXO,"QXO, Inc.",13.405,0.5249996,4.074502
M,Macy's Inc,11.59,0.40999985,3.6672616
ROKU,"Roku, Inc.",68.09,2.3799973,3.6219711
SSRM,SSR Mining Inc.,10.63,0.3800001,3.7073183
LI,Li Auto Inc.,24.3,0.8199997,3.4923327
STNE,StoneCo Ltd.,14.23,0.47999954,3.4909058
ABBV,AbbVie Inc.,192.3908,6.3307953,3.402556
BZ,KANZHUN LIMITED - American Depo,14.87,0.5100002,3.5515337
MNSO,MINISO Group Holding Limited,17.61,0.5600014,3.2844658
KVYO,"Klaviyo, Inc. Series A",30.4,0.8199997,2.7721424
TIGO,Millicom International Cellular,33.95,1.1800003,3.600855
OKLO,Oklo Inc.,24.505,0.7649994,3.220372
ONON,On Holding AG,46.589,1.5590019,3.4621408
FTAI,FTAI Aviation Ltd.,108.22,3.380005,3.2233503
MKKGY,Merck KGaA,28.48,0.90999985,3.3006887
TNET,"TriNet Group, Inc.",79.49,2.199997,2.8464186
PRCT,PROCEPT BioRobotics Corporation,54.16,1.6699982,3.1815548
SWTX,"SpringWorks Therapeutics, Inc.",46.18,1.4599991,3.2647564
HCM,HUTCHMED (China) Limited,15.085,0.47500038,3.2512004
PRK,Park National Corporation,152.05,4.2900085,2.9033628
CCJ,Cameco Corporation,45.31,1.3199997,3.0006812
WY,Weyerhaeuser Company,25.57,0.7600002,3.063282
TXRH,"Texas Roadhouse, Inc.",166.66,5.0200043,3.1056695
VIPS,Vipshop Holdings Limited,13.65,0.40999985,3.0978453
CNC,Centene Corporation,59.5,1.8100014,3.1380053
EADSY,Airbus SE,41.5,1.25,3.10559
CLF,Cleveland-Cliffs Inc.,8.1782,0.26819992,3.3906438
GILD,"Gilead Sciences, Inc.",106.33,3.1600037,3.0629096
DNLI,Denali Therapeutics Inc.,16.25,0.5699997,3.6352022
YARIY,Yara International ASA,16.75,0.5,3.0769231
AB,AllianceBernstein Holding L.P.,38.73,1.0900002,2.895856
LB,LandBridge Company LLC,74.17,2.1699982,3.0138865
