Symbol,Name,Last Price,Change,Change %
TIVC,Tivic Health Systems Inc. (TIVC),7.12,3.62,103.29
OBLG,Oblong Inc. (OBLG),3.51,1.37,64.02
NG,NovaGold Resources Inc. (NG),4.34,1.24,39.71
TMDE,TMD Energy Ltd. (TMDE),4.99,1.33,33.46
VCIG,VCI Global Ltd. (VCIG),3.63,0.79,27.82
SPAI,Safe Pro Group Inc. (SPAI),3.42,0.72,26.67
BCTX,BriaCell Therapeutics Corp. (BCTX),5.25,1.06,25.30
AGEN,Agenus Inc. (AGEN),2.86,0.55,23.81
CNCK,Coincheck Group N.V. (CNCK),7.40,1.35,22.31
BTDR,Bitdeer Technologies Group (BTDR),9.38,1.78,23.49
FMTO,Femto Technologies Inc. (FMTO),7.33,1.33,22.17
INV,Innventure Inc. (INV),4.36,0.76,21.11
CMCT,Creative Media & Community Trust Corp. (CMCT),5.02,0.86,20.67
AEHL,Antelope Enterprise Holdings Ltd. (AEHL),3.10,0.52,20.16
KRRO,Korro Bio Inc. (KRRO),16.33,2.69,19.72
AIXI,XIAO-I Corp. ADR (AIXI),3.44,0.56,19.44
AUUD,Auddia Inc. (AUUD),3.89,0.63,19.33
QSG,QuantaSing Group Ltd. ADR (QSG),4.60,0.72,18.56
LRMR,Larimar Therapeutics Inc. (LRMR),2.38,0.37,18.21
ZCAR,Zoomcar Holdings Inc. (ZCAR),3.74,0.57,18.20
MASS,908 Devices Inc. (MASS),5.66,0.86,17.92
BLIV,BeLive Holdings (BLIV),3.94,0.59,17.61
CLSK,CleanSpark Inc. (CLSK),8.79,1.32,17.64
ZYBT,Zhengye Biotechnology Holding Ltd. (ZYBT),9.05,1.35,17.53
CIFR,Cipher Mining Inc. (CIFR),2.74,0.41,17.31
ATPC,AgapeATP Corp. (ATPC),2.43,0.36,17.39
RGNX,REGENXBIO Inc. (RGNX),7.83,1.16,17.39
WULF,TeraWulf Inc. (WULF),2.64,0.39,17.33
LGPS,LogProstyle Inc. (LGPS),4.04,0.58,16.96
DERM,Journey Medical Corp. (DERM),7.39,1.06,16.75
COYA,Coya Therapeutics Inc. (COYA),6.65,0.94,16.46
CAPR,Capricor Therapeutics Inc. (CAPR),13.88,1.96,16.44
AMLX,Amylyx Pharmaceuticals Inc. (AMLX),4.92,0.69,16.31
BTCT,BTC Digital Ltd. (BTCT),3.89,0.54,16.10
BCYC,Bicycle Therapeutics Ltd. ADR (BCYC),8.71,1.20,15.98
RGLS,Regulus Therapeutics Inc. (RGLS),2.33,0.32,15.92
Cayman,Intercont (Cayman) Ltd. (NCT),6.19,0.83,15.49
NGNE,Neurogene Inc. (NGNE),13.85,1.83,15.22
TDUP,ThredUp Inc. Cl A (TDUP),3.84,0.51,15.12
CURI,CuriosityStream Inc. (CURI),3.51,0.46,15.08
GRO,Brazil Potash Corp. (GRO),2.87,0.37,14.84
PCT,PureCycle Technologies Inc. (PCT),6.38,0.81,14.65
MTEN,Mingteng International Corp. Inc. (MTEN),6.99,0.89,14.59
GAUZ,Gauzy Ltd. (GAUZ),10.28,1.29,14.35
MARA,MARA Holdings Inc. (MARA),14.05,1.76,14.32
LASE,Laser Photonics Corp. (LASE),2.90,0.36,14.17
ROOT,Root Inc. Cl A (ROOT),135.00,16.61,14.03
EFX,Equifax Inc. (EFX),245.12,29.83,13.86
ENGS,Energys Group Ltd. (ENGS),5.86,0.71,13.79
ORKA,Oruka Therapeutics Inc. (ORKA),10.58,1.28,13.76
NUKK,Nukkleus Inc. (NUKK),14.56,1.75,13.67
TOI,Oncology Institute Inc. (TOI),2.72,0.33,13.60
VSTM,Verastem Inc. (VSTM),7.03,0.82,13.20
ELDN,Eledon Pharmaceuticals Inc. (ELDN),3.38,0.40,13.26
CALX,Calix Inc. (CALX),37.65,4.40,13.23
RIOT,Riot Platforms Inc. (RIOT),7.12,0.82,13.12
SLDB,Solid Biosciences Inc. (SLDB),3.42,0.40,13.04
AAPG,Ascentage Pharma Group International ADR (AAPG),21.60,2.48,12.97
MBX,MBX Biosciences Inc. (MBX),8.62,0.98,12.83
WGRX,Wellgistics Health Inc. (WGRX),3.50,0.40,12.74
JNVR,Janover Inc. (JNVR),44.32,4.96,12.62
ITOS,iTeos Therapeutics Inc. (ITOS),7.46,0.84,12.69
HSAI,Hesai Group ADR (HSAI),13.07,1.46,12.58
IPX,IperionX Ltd. ADR (IPX),21.92,2.42,12.41
China,HUTCHMED (China) Ltd. ADR (HCM),15.60,1.71,12.31
ATXS,Astria Therapeutics Inc. (ATXS),4.62,0.51,12.29
GRAL,GRAIL Inc. (GRAL),29.63,3.21,12.15
KOD,Kodiak Sciences Inc. (KOD),3.64,0.39,12.00
MWYN,Marwynn Holdings Inc. (MWYN),4.41,0.47,11.93
LTBR,Lightbridge Corp. (LTBR),7.94,0.84,11.86
AMRC,Ameresco Inc. Cl A (AMRC),9.68,1.02,11.84
SMLR,Semler Scientific Inc. (SMLR),33.30,3.48,11.65
SNBR,Sleep Number Corp. (SNBR),5.94,0.61,11.56
AVR,Anteris Technologies Global Corp. (AVR),3.50,0.36,11.46
MTSR,Metsera Inc. (MTSR),21.74,2.23,11.43
KPTI,Karyopharm Therapeutics Inc. (KPTI),6.02,0.62,11.41
KZIA,Kazia Therapeutics Ltd. ADR (KZIA),3.44,0.35,11.33
WKEY,WISeKey International Holding Ltd. ADR (WKEY),3.85,0.39,11.27
MCRB,Seres Therapeutics Inc. (MCRB),8.32,0.84,11.26
ALGS,Aligos Therapeutics Inc. (ALGS),5.14,0.52,11.26
AVD,American Vanguard Corp. (AVD),4.22,0.42,11.18
RAPP,Rapport Therapeutics Inc. (RAPP),11.54,1.16,11.18
BLUE,bluebird bio Inc. (BLUE),4.34,0.43,11.15
MGTX,MeiraGTx Holdings PLC (MGTX),6.28,0.63,11.15
ACHV,Achieve Life Sciences Inc. (ACHV),2.50,0.25,11.11
DNLI,Denali Therapeutics Inc. (DNLI),14.61,1.46,11.10
NVCT,Nuvectis Pharma Inc. (NVCT),9.26,0.92,11.03
WIMI,WiMi Hologram Cloud Inc. Cl B (WIMI),5.00,0.49,11.00
OB,Outbrain Inc. (OB),3.56,0.35,10.90
HUT,Hut 8 Corp. (HUT),11.80,1.16,10.90
RH,RH (RH),172.70,16.91,10.85
FLL,Full House Resorts Inc. (FLL),3.24,0.32,10.79
DXF,Eason Technology Ltd. ADR (DXF),7.81,0.76,10.78
ELVN,Enliven Therapeutics Inc. (ELVN),17.96,1.74,10.73
ARCT,Arcturus Therapeutics Holdings Inc. (ARCT),12.18,1.18,10.73
DSGN,Design Therapeutics Inc. (DSGN),3.97,0.38,10.58
SMR,NuScale Power Corp. (SMR),15.08,1.44,10.53
FSLR,First Solar Inc. (FSLR),135.30,12.86,10.50
FDMT,4D Molecular Therapeutics Inc. (FDMT),3.40,0.32,10.39
ATKR,Atkore Inc. (ATKR),62.61,5.88,10.36
