symbol,price,price_change,price_percent_change
ULY,7.64,2.97,63.60
SSII,11.35,3.35,41.88
JAGX,10.91,2.85,35.36
SAIH,6.90,1.50,27.78
RBOT,8.47,1.82,27.37
CEP,31.50,6.70,27.02
JZXN,2.97,0.61,25.85
BBAI,3.53,0.62,21.31
CSIQ,11.15,1.87,20.15
NEOV,2.68,0.41,17.76
EPWK,12.71,1.81,16.61
CCM,5.32,0.76,16.60
CMCT,5.28,0.74,16.26
SPPL,4.04,0.54,15.51
NDRA,3.98,0.53,15.36
BUJA,12.41,1.61,14.91
UPXI,15.51,1.99,14.72
COUR,8.75,1.05,13.64
SXT,90.99,10.85,13.54
INHD,8.73,0.98,12.65
HONE,11.30,1.24,12.33
EHC,113.37,11.96,11.79
LBRDK,86.23,8.87,11.47
CHTR,373.65,38.32,11.43
LBRDA,85.06,8.56,11.19
MCRB,10.08,1.00,11.01
SPIR,10.64,1.02,10.60
UPC,4.20,0.40,10.53
NTGR,24.76,2.33,10.39
CORZ,8.31,0.78,10.36
NIU,3.52,0.33,10.34
MYNZ,3.53,0.33,10.31
EVLV,3.89,0.36,10.20
ARRY,5.02,0.46,10.09
TSLA,284.95,25.44,9.80
SNOA,4.23,0.37,9.59
ZDGE,2.52,0.22,9.57
FPH,5.68,0.48,9.23
ALTS,6.32,0.53,9.15
SPHR,28.88,2.41,9.10
NEON,11.05,0.92,9.08
DAIO,2.30,0.19,9.00
DMYY,13.10,1.06,8.80
EPSM,7.55,0.61,8.79
CRNC,9.71,0.78,8.73
AISP,4.00,0.32,8.55
BWLP,10.55,0.83,8.54
STBX,2.19,0.17,8.42
NAYA,2.20,0.17,8.37
HDSN,6.23,0.48,8.35
QUIK,5.34,0.41,8.32
VRSN,272.79,20.20,8.00
MYFW,20.34,1.49,7.90
CODA,6.71,0.49,7.88
OBIO,2.78,0.20,7.75
RMNI,3.50,0.25,7.69
RETO,3.88,0.28,7.69
PRCH,5.91,0.42,7.65
CNCK,7.90,0.55,7.48
VTSI,4.03,0.28,7.47
INDV,11.56,0.80,7.43
ELPW,3.18,0.22,7.43
MBOT,2.61,0.18,7.41
SEDG,12.56,0.84,7.21
SHLS,3.64,0.24,7.06
RRGB,2.74,0.18,7.03
DALN,5.18,0.34,7.02
SMLR,36.84,2.40,6.97
EOSE,5.22,0.34,6.97
PDLB,12.48,0.81,6.94
FLNC,4.18,0.27,6.91
AMRC,10.75,0.69,6.86
GSHD,99.54,6.35,6.81
SNBR,7.01,0.44,6.70
OM,11.58,0.72,6.63
MAZE,8.21,0.51,6.62
PENN,16.15,1.00,6.60
KZIA,3.64,0.22,6.51
PHVS,16.84,1.01,6.38
AREN,4.87,0.29,6.33
SHFS,4.04,0.24,6.32
HPH,7.69,0.45,6.22
RKDA,3.46,0.20,6.21
SOBR,3.60,0.21,6.19
XGN,6.21,0.36,6.15
AMPY,2.69,0.15,5.91
CPS,14.18,0.78,5.82
SKYT,7.70,0.42,5.77
LU,3.12,0.17,5.76
STIM,4.48,0.24,5.66
FIX,397.43,21.22,5.64
DXF,6.81,0.36,5.58
TANH,2.29,0.12,5.53
LOAR,96.89,5.04,5.49
SCLX,4.67,0.24,5.42
LXU,5.65,0.29,5.41
MSTR,368.71,18.37,5.24
RDDT,118.10,5.85,5.21
EVTL,3.86,0.19,5.18
CRCT,4.72,0.23,5.12
