Symbol,Name,Last Price,Change,Change %
BRPHF,Galaxy Digital Holdings Ltd.,,13.11+2.13(+19.40%),+2.13
CLSK,"CleanSpark, Inc.",,8.63+1.16(+15.53%),+1.16
EFX,Equifax Inc.,,243.38+28.09(+13.04%),+28.09
HCM,HUTCHMED (China) Limited,,15.53+1.64(+11.81%),+1.64
RIOT,"Riot Platforms, Inc.",,7.01+0.72(+11.47%),+0.72
HTZ,"Hertz Global Holdings, Inc.",,8.79+0.96(+12.26%),+0.96
CALX,"Calix, Inc.",,36.94+3.69(+11.08%),+3.69
FSLR,"First Solar, Inc.",,135.04+12.59(+10.28%),+12.59
MARA,"MARA Holdings, Inc.",,13.56+1.27(+10.37%),+1.27
FUJIY,FUJIFILM Holdings Corporation,,10.39+0.97(+10.30%),+0.97
XIACF,Xiaomi Corporation,,5.79+0.49(+9.25%),+0.49
ZLAB,Zai Lab Limited,,32.40+2.69(+9.04%),+2.69
XIACY,Xiaomi Corporation,,28.84+2.39(+9.04%),+2.39
COIN,"Coinbase Global, Inc.",,190.55+15.55(+8.88%),+15.55
IVZ,Invesco Ltd.,,13.56+1.10(+8.79%),+1.10
DNLI,Denali Therapeutics Inc.,,14.30+1.15(+8.75%),+1.15
CVNA,Carvana Co.,,212.65+16.82(+8.59%),+16.82
MSTR,Strategy Incorporated,,345.22+27.46(+8.64%),+27.46
PAGS,PagSeguro Digital Ltd.,,9.19+0.72(+8.44%),+0.72
ATKR,Atkore Inc.,,61.48+4.75(+8.37%),+4.75
PNR,Pentair plc,,85.25+6.29(+7.97%),+6.29
RH,RH,,167.52+11.73(+7.53%),+11.73
TAL,TAL Education Group,,10.73+0.74(+7.46%),+0.74
AFRM,"Affirm Holdings, Inc.",,43.65+3.00(+7.38%),+3.00
MMM,3M Company,,135.51+9.42(+7.47%),+9.42
