Symbol,Name,Last Price,Change,Change %
CGON,CG Oncology Inc. (CGON),30.83,8.46,37.82
PRTG,Portage Biotech Inc. (PRTG),10.44,1.99,23.55
SABR,Sabre Corp. (SABR),2.66,0.47,21.69
LCFY,Locafy Ltd. (LCFY),4.70,0.74,18.69
QSG,QuantaSing Group Ltd. ADR (QSG),5.95,0.91,18.06
TMC,TMC the metals company Inc. (TMC),3.59,0.54,17.70
XNET,Xunlei Ltd. ADR (XNET),4.51,0.64,16.37
MYNZ,Mainz Biomed N.V. (MYNZ),4.11,0.57,16.29
AMPY,Amplify Energy Corp. (AMPY),3.10,0.41,15.06
ALBT,Avalon GloboCare Corp. (ALBT),4.25,0.54,14.56
AMIX,Autonomix Medical Inc. (AMIX),2.37,0.29,13.94
MLGO,MicroAlgo Inc. (MLGO),9.02,1.10,13.89
ADMA,ADMA Biologics Inc. (ADMA),24.89,3.03,13.86
NEON,Neonode Inc. (NEON),12.57,1.52,13.73
WOLF,Wolfspeed Inc. (WOLF),3.72,0.45,13.61
URGN,UroGen Pharma Ltd. (URGN),11.20,1.33,13.48
SMMT,Summit Therapeutics Inc. (SMMT),25.93,2.46,10.51
PONY,Pony AI Inc. ADR (PONY),7.75,0.74,10.61
CRVO,CervoMed Inc. (CRVO),9.52,0.88,10.19
LPTH,Lightpath Technologies Inc. Cl A (LPTH),2.41,0.22,10.05
KSCP,Knightscope Inc. (KSCP),5.49,0.49,9.80
BHVN,Biohaven Ltd. (BHVN),21.68,1.84,9.27
UPXI,Upexi Inc. (UPXI),16.94,1.43,9.21
VEON,VEON Ltd. ADR (VEON),46.45,3.82,8.96
RGLS,Regulus Therapeutics Inc. (RGLS),3.00,0.24,8.70
CVAC,CureVac N.V. (CVAC),3.50,0.28,8.51
SXTC,China SXT Pharmaceuticals Inc. (SXTC),2.48,0.19,8.30
FL,Foot Locker Inc. (FL),12.70,0.97,8.27
AOMR,Angel Oak Mortgage REIT Inc. (AOMR),9.13,0.65,7.65
RAPP,Rapport Therapeutics Inc. (RAPP),11.38,0.76,7.16
ETON,Eton Pharmaceuticals Inc. (ETON),16.92,1.10,6.95
JNVR,Janover Inc. (JNVR),55.50,3.59,6.92
CHA,Chagee Holdings Ltd. ADR (CHA),33.15,2.04,6.56
NIO,NIO Inc. ADR (NIO),4.29,0.26,6.48
NVEE,NV5 Global Inc. (NVEE),17.05,0.99,6.16
RVMD,Revolution Medicines Inc. (RVMD),41.02,2.25,5.80
EVH,Evolent Health Inc. Cl A (EVH),9.49,0.51,5.71
LXU,LSB Industries Inc. (LXU),5.97,0.32,5.66
SATL,Satellogic Inc. (SATL),3.92,0.21,5.66
AUR,Aurora Innovation Inc. (AUR),7.26,0.39,5.60
POET,POET Technologies Inc. (POET),4.33,0.22,5.44
CVRX,CVRx Inc. (CVRX),7.09,0.36,5.36
OPRA,Opera Ltd. ADR (OPRA),16.34,0.81,5.22
AGEN,Agenus Inc. (AGEN),2.84,0.14,5.19
OCUL,Ocular Therapeutix Inc. (OCUL),8.08,0.37,4.80
NTLA,Intellia Therapeutics Inc. (NTLA),8.69,0.38,4.57
DNA,Ginkgo Bioworks Holdings Inc. (DNA),8.19,0.35,4.46
MLYS,Mineralys Therapeutics Inc. (MLYS),13.97,0.63,4.72
FCEL,FuelCell Energy Inc. (FCEL),3.99,0.17,4.45
GRAL,GRAIL Inc. (GRAL),38.84,1.64,4.41
BNTX,BioNTech SE ADR (BNTX),106.44,4.42,4.34
THTX,Theratechnologies Inc. (THTX),2.89,0.12,4.33
HIMS,Hims & Hers Health Inc. (HIMS),29.22,1.13,4.03
SPCE,Virgin Galactic Holdings Inc. (SPCE),2.96,0.12,4.04
IRDM,Iridium Communications Inc. (IRDM),24.09,0.93,4.02
JACK,Jack in the Box Inc. (JACK),25.47,0.95,3.88
RXRX,Recursion Pharmaceuticals Inc. (RXRX),5.95,0.22,3.86
APPF,AppFolio Inc. (APPF),198.69,6.67,3.47
TERN,Terns Pharmaceuticals Inc. (TERN),3.03,0.11,3.77
DYN,Dyne Therapeutics Inc. (DYN),11.48,0.41,3.75
CGNX,Cognex Corp. (CGNX),27.14,0.98,3.75
STSS,Sharps Technology Inc. (STSS),6.28,0.22,3.63
SMG,Scotts Miracle-Gro Co. (SMG),55.00,1.92,3.62
AAOI,Applied Optoelectronics Inc. (AAOI),13.01,0.45,3.58
VKTX,Viking Therapeutics Inc. (VKTX),25.88,0.89,3.58
OGN,Organon & Co. (OGN),12.64,0.44,3.57
SERV,Serve Robotics Inc. (SERV),6.73,0.23,3.54
VRNA,Verona Pharma PLC ADR (VRNA),67.76,2.30,3.51
YALA,Yalla Group Ltd. ADR (YALA),8.03,0.27,3.48
ARLP,Alliance Resource Partners L.P. (ARLP),28.07,0.93,3.43
EVLV,Evolv Technologies Holdings Inc. (EVLV),4.02,0.13,3.34
QXO,QXO Inc. (QXO),13.31,0.43,3.34
LI,Li Auto Inc. ADR (LI),24.26,0.78,3.32
LXEO,Lexeo Therapeutics Inc. (LXEO),3.80,0.12,3.30
TIGR,UP Fintech Holding Ltd. ADR (TIGR),7.98,0.26,3.30
STNE,StoneCo Ltd. Cl A (STNE),14.20,0.45,3.24
VSAT,ViaSat Inc. (VSAT),9.34,0.29,3.20
PTON,Peloton Interactive Inc. (PTON),6.49,0.20,3.18
VIPS,Vipshop Holdings Ltd. ADR (VIPS),13.66,0.42,3.17
NFE,New Fortress Energy LLC Cl A (NFE),5.70,0.17,3.17
CCIR,Cohen Circle Acquisition Corp. I Cl A (CCIR),12.38,0.38,3.17
LUMN,Lumen Technologies Inc. (LUMN),3.46,0.10,3.13
NCLH,Norwegian Cruise Line Holdings Ltd. (NCLH),17.77,0.54,3.13
IOVA,Iovance Biotherapeutics Inc. (IOVA),3.62,0.11,3.13
SWTX,SpringWorks Therapeutics Inc. (SWTX),46.10,1.39,3.10
ETNB,89bio Inc. (ETNB),7.16,0.21,3.10
NWL,Newell Brands Inc. (NWL),5.16,0.15,3.09
TEVA,Teva Pharmaceutical Industries Ltd. ADR (TEVA),15.33,0.46,3.09
INTC,Intel Corp. (INTC),20.67,0.62,3.11
W,Wayfair Inc. Cl A (W),30.15,0.90,3.07
BBWI,Bath & Body Works Inc. (BBWI),30.49,0.91,3.07
CX,Cemex S.A.B. de C.V. ADR (CX),6.10,0.18,3.04
NB,NioCorp Developments Ltd. (NB),2.74,0.08,3.01
TM,Toyota Motor Corp. ADR (TM),193.84,5.63,2.99
ULCC,Frontier Group Holdings Inc. (ULCC),3.32,0.10,2.94
ONON,On Holding AG (ONON),46.35,1.32,2.93
CLF,Cleveland-Cliffs Inc. (CLF),8.14,0.23,2.91
IBRX,ImmunityBio Inc. (IBRX),2.68,0.07,2.87
CRDF,Cardiff Oncology Inc. (CRDF),2.96,0.08,2.82
ARWR,Arrowhead Pharmaceuticals Corp. (ARWR),13.62,0.37,2.79
