symbol,price,price_change,price_percent_change
CGON,30.83,8.46,37.82
PRTG,10.44,1.99,23.55
SABR,2.66,0.47,21.69
LCFY,4.70,0.74,18.69
QSG,5.95,0.91,18.06
TMC,3.59,0.54,17.70
XNET,4.51,0.64,16.37
MYNZ,4.11,0.57,16.29
AMPY,3.10,0.41,15.06
ALBT,4.25,0.54,14.56
AMIX,2.37,0.29,13.94
MLGO,9.02,1.10,13.89
ADMA,24.89,3.03,13.86
NEON,12.57,1.52,13.73
WOLF,3.72,0.45,13.61
URGN,11.20,1.33,13.48
SMMT,25.93,2.46,10.51
PONY,7.75,0.74,10.61
CRVO,9.52,0.88,10.19
LPTH,2.41,0.22,10.05
KSCP,5.49,0.49,9.80
BHVN,21.68,1.84,9.27
UPXI,16.94,1.43,9.21
VEON,46.45,3.82,8.96
RGLS,3.00,0.24,8.70
CVAC,3.50,0.28,8.51
SXTC,2.48,0.19,8.30
FL,12.70,0.97,8.27
AOMR,9.13,0.65,7.65
RAPP,11.38,0.76,7.16
ETON,16.92,1.10,6.95
JNVR,55.50,3.59,6.92
CHA,33.15,2.04,6.56
NIO,4.29,0.26,6.48
NVEE,17.05,0.99,6.16
RVMD,41.02,2.25,5.80
EVH,9.49,0.51,5.71
LXU,5.97,0.32,5.66
SATL,3.92,0.21,5.66
AUR,7.26,0.39,5.60
POET,4.33,0.22,5.44
CVRX,7.09,0.36,5.36
OPRA,16.34,0.81,5.22
AGEN,2.84,0.14,5.19
OCUL,8.08,0.37,4.80
NTLA,8.69,0.38,4.57
DNA,8.19,0.35,4.46
MLYS,13.97,0.63,4.72
FCEL,3.99,0.17,4.45
GRAL,38.84,1.64,4.41
BNTX,106.44,4.42,4.34
THTX,2.89,0.12,4.33
HIMS,29.22,1.13,4.03
SPCE,2.96,0.12,4.04
IRDM,24.09,0.93,4.02
JACK,25.47,0.95,3.88
RXRX,5.95,0.22,3.86
APPF,198.69,6.67,3.47
TERN,3.03,0.11,3.77
DYN,11.48,0.41,3.75
CGNX,27.14,0.98,3.75
STSS,6.28,0.22,3.63
SMG,55.00,1.92,3.62
AAOI,13.01,0.45,3.58
VKTX,25.88,0.89,3.58
OGN,12.64,0.44,3.57
SERV,6.73,0.23,3.54
VRNA,67.76,2.30,3.51
YALA,8.03,0.27,3.48
ARLP,28.07,0.93,3.43
EVLV,4.02,0.13,3.34
QXO,13.31,0.43,3.34
LI,24.26,0.78,3.32
LXEO,3.80,0.12,3.30
TIGR,7.98,0.26,3.30
STNE,14.20,0.45,3.24
VSAT,9.34,0.29,3.20
PTON,6.49,0.20,3.18
VIPS,13.66,0.42,3.17
NFE,5.70,0.17,3.17
CCIR,12.38,0.38,3.17
LUMN,3.46,0.10,3.13
NCLH,17.77,0.54,3.13
IOVA,3.62,0.11,3.13
SWTX,46.10,1.39,3.10
ETNB,7.16,0.21,3.10
NWL,5.16,0.15,3.09
TEVA,15.33,0.46,3.09
INTC,20.67,0.62,3.11
W,30.15,0.90,3.07
BBWI,30.49,0.91,3.07
CX,6.10,0.18,3.04
NB,2.74,0.08,3.01
TM,193.84,5.63,2.99
ULCC,3.32,0.10,2.94
ONON,46.35,1.32,2.93
CLF,8.14,0.23,2.91
IBRX,2.68,0.07,2.87
CRDF,2.96,0.08,2.82
ARWR,13.62,0.37,2.79
