Symbol,Name,Last Price,Change,Change %
OMH,Ohmyhome Ltd. (OMH),2.89,0.86,42.36
SAGT,Sagtec Global Ltd. (SAGT),5.00,1.16,30.21
LEG,Leggett & Platt Inc. (LEG),8.93,1.66,22.83
HIMS,Hims & Hers Health Inc. (HIMS),34.88,6.40,22.47
LFMD,LifeMD Inc. (LFMD),7.40,1.30,21.31
CECO,Ceco Environmental Corp. (CECO),22.57,3.37,17.55
CLVT,Clarivate PLC (CLVT),4.22,0.63,17.41
KNSA,Kiniksa Pharmaceuticals International PLC (KNSA),24.89,3.42,15.93
LZMH,LZ Technology Holdings Ltd. Cl B (LZMH),9.18,1.17,14.61
QSG,QuantaSing Group Ltd. ADR (QSG),6.55,0.76,13.13
VPG,Vishay Precision Group Inc. (VPG),25.01,2.90,13.12
TZOO,Travelzoo (TZOO),14.16,1.64,13.10
AMIX,Autonomix Medical Inc. (AMIX),2.62,0.28,11.80
TRS,TriMas Corp. (TRS),23.32,2.33,11.10
EPWK,EPWK Holdings Ltd. Cl A (EPWK),15.20,1.49,10.87
FOUR,Shift4 Payments Inc. (FOUR),88.26,8.60,10.79
JBIO,Jade Biosciences Inc. (JBIO),10.84,1.04,10.60
RYET,Ruanyun Edai Technology Inc. (RYET),5.46,0.48,9.64
CHA,Chagee Holdings Ltd. ADR (CHA),37.72,3.21,9.32
PUMP,ProPetro Holding Corp. (PUMP),5.69,0.42,7.96
NE,Noble Corp. PLC (NE),22.67,1.67,7.95
THC,Tenet Healthcare Corp. (THC),133.57,9.66,7.80
CCK,Crown Holdings Inc. (CCK),96.72,6.94,7.73
JAGX,Jaguar Health Inc. (JAGX),11.49,0.82,7.69
CR,Crane Co. (CR),159.90,11.23,7.55
MTSR,Metsera Inc. (MTSR),21.26,1.45,7.32
HSAI,Hesai Group ADR (HSAI),16.46,1.10,7.19
VNET,VNET Group Inc. ADR (VNET),5.82,0.38,6.99
SEI,Solaris Energy Infrastructure Inc. (SEI),22.00,1.44,6.98
FISI,Financial Institutions Inc. (FISI),25.64,1.58,6.57
ATOM,Atomera Inc. (ATOM),4.41,0.27,6.44
LAZR,Luminar Technologies Inc. (LAZR),4.06,0.23,6.15
MYNZ,Mainz Biomed N.V. (MYNZ),3.92,0.22,5.95
WKSP,Worksport Ltd. (WKSP),3.26,0.18,5.84
OKTA,Okta Inc. Cl A (OKTA),110.89,6.10,5.82
ZBRA,Zebra Technologies Corp. Cl A (ZBRA),257.65,14.16,5.82
NAVI,Navient Corp. (NAVI),12.94,0.70,5.76
SBAC,SBA Communications Corp. (SBAC),236.11,12.83,5.75
SHW,Sherwin-Williams Co. (SHW),349.84,17.64,5.31
CEP,Cantor Equity Partners Inc. (CEP),32.70,1.64,5.28
SOFI,SoFi Technologies Inc. (SOFI),13.83,0.63,4.80
LTM,LATAM Airlines Group S.A. ADR (LTM),32.00,1.45,4.75
GPCR,Structure Therapeutics Inc. ADR (GPCR),24.74,1.12,4.74
PGY,Pagaya Technologies Ltd. (PGY),11.51,0.49,4.45
NB,NioCorp Developments Ltd. (NB),2.84,0.12,4.41
HON,Honeywell International Inc. (HON),209.39,8.73,4.35
ASPI,ASP Isotopes Inc. (ASPI),5.44,0.23,4.32
DB,Deutsche Bank AG (DB),26.84,1.10,4.29
DXF,Eason Technology Ltd. ADR (DXF),6.80,0.27,4.06
NWBI,Northwest Bancshares Inc. (NWBI),12.33,0.48,4.05
VRNA,Verona Pharma PLC ADR (VRNA),71.60,2.77,4.02
VSTM,Verastem Inc. (VSTM),7.27,0.28,4.01
EDU,New Oriental Education & Technology Group Inc. ADR (EDU),48.85,1.88,4.00
ENSC,Ensysce Biosciences Inc. (ENSC),3.04,0.12,3.92
CDNS,Cadence Design Systems Inc. (CDNS),296.77,11.04,3.86
ARQQ,Arqit Quantum Inc. (ARQQ),15.87,0.58,3.79
AOS,A.O. Smith Corp. (AOS),67.17,2.39,3.69
AMT,American Tower REIT (AMT),218.80,7.50,3.55
VKTX,Viking Therapeutics Inc. (VKTX),26.86,0.92,3.55
AFRM,Affirm Holdings Inc. Cl A (AFRM),50.89,1.72,3.50
SLM,SLM Corp. (SLM),29.18,0.97,3.44
UPST,Upstart Holdings Inc. (UPST),49.73,1.63,3.39
WWD,Woodward Inc. (WWD),187.55,6.10,3.36
ENIC,Enel Chile S.A. ADR (ENIC),3.56,0.12,3.33
TNXP,Tonix Pharmaceuticals Holding Corp. (TNXP),17.59,0.56,3.29
QTRX,Quanterix Corp. (QTRX),5.97,0.19,3.29
NVO,Novo Nordisk A/S ADR (NVO),64.65,2.03,3.24
CINT,CI&T Inc. (CINT),5.64,0.17,3.20
PERI,Perion Network Ltd. (PERI),9.46,0.28,3.05
CWK,Cushman & Wakefield PLC (CWK),9.28,0.27,3.00
TLS,Telos Corp. (TLS),2.75,0.08,3.00
RPAY,Repay Holdings Corp. (RPAY),3.96,0.12,2.99
RYAAY,Ryanair Holdings PLC ADR (RYAAY),47.36,1.34,2.92
CCI,Crown Castle Inc. (CCI),103.87,2.95,2.92
TALK,Talkspace Inc. (TALK),3.19,0.09,2.90
HLF,Herbalife Ltd. (HLF),7.10,0.20,2.90
TDOC,Teladoc Health Inc. (TDOC),7.36,0.20,2.86
WRD,WeRide Inc. ADR (WRD),6.84,0.19,2.86
HSBC,HSBC Holdings PLC ADR (HSBC),57.93,1.59,2.82
EPSM,Epsium Enterprise Ltd. (EPSM),8.00,0.22,2.81
GDS,GDS Holdings Ltd. ADR (GDS),24.03,0.65,2.78
ACRE,Ares Commercial Real Estate Corp. (ACRE),4.03,0.11,2.76
SUUN,SolarBank Corp. (SUUN),2.30,0.06,2.68
TWO,Two Harbors Investment Corp. (TWO),12.31,0.31,2.58
CINF,Cincinnati Financial Corp. (CINF),139.32,3.44,2.54
OSCR,Oscar Health Inc. (OSCR),12.94,0.32,2.51
API,Agora Inc. ADR (API),3.27,0.08,2.51
BBIO,BridgeBio Pharma Inc. (BBIO),36.79,0.90,2.51
CYH,Community Health Systems Inc. (CYH),2.70,0.07,2.47
DT,Dynatrace Inc. (DT),47.58,1.11,2.40
TMC,TMC the metals company Inc. (TMC),3.39,0.08,2.39
AB,AllianceBernstein Holding L.P. (AB),39.60,0.93,2.39
YEXT,Yext Inc. (YEXT),6.62,0.14,2.24
ROKU,Roku Inc. Cl A (ROKU),69.64,1.50,2.20
XYL,Xylem Inc. (XYL),118.44,2.52,2.17
BALL,Ball Corp. (BALL),51.59,1.08,2.14
ANET,Arista Networks Inc. (ANET),79.93,1.62,2.07
S,SentinelOne Inc. (S),18.84,0.38,2.06
FUTU,Futu Holdings Ltd. ADR (FUTU),91.49,1.81,2.02
SPGI,S&P Global Inc. (SPGI),489.02,9.65,2.01
