Symbol,Name,Last Price,Change,Change %
UPXI,Upexi Inc. (UPXI),9.89,7.59,330.94
SHFS,SHF Holdings Inc. (SHFS),4.19,1.96,87.89
MLGO,MicroAlgo Inc. (MLGO),11.86,5.08,74.93
SBEV,Splash Beverage Group Inc. (SBEV),6.65,2.47,59.09
MTEN,Mingteng International Corp. Inc. (MTEN),6.10,1.88,44.55
FRGE,Forge Global Holdings Inc. (FRGE),12.30,3.61,41.54
INHD,Inno Holdings Inc. (INHD),8.56,2.33,37.50
HPH,Highest Performances Holdings Inc. ADR (HPH),8.32,1.76,26.83
DWTX,Dogwood Therapeutics Inc. (DWTX),5.37,1.10,25.76
PNBK,Patriot National Bancorp Inc. (PNBK),4.03,0.75,22.87
OMH,Ohmyhome Ltd. (OMH),3.60,0.64,21.62
SLDB,Solid Biosciences Inc. (SLDB),3.03,0.48,18.82
LXEO,Lexeo Therapeutics Inc. (LXEO),3.21,0.50,18.45
BIYA,Baiya International Group Inc. (BIYA),3.71,0.52,16.30
UPC,Universe Pharmaceuticals Inc. (UPC),4.14,0.58,16.29
PRTG,Portage Biotech Inc. (PRTG),9.09,1.25,15.94
KOD,Kodiak Sciences Inc. (KOD),3.25,0.41,14.44
DYN,Dyne Therapeutics Inc. (DYN),9.33,1.16,14.20
RZLT,Rezolute Inc. (RZLT),3.14,0.39,14.18
INV,Innventure Inc. (INV),3.60,0.43,13.56
RCKT,Rocket Pharmaceuticals Inc. (RCKT),7.17,0.84,13.27
TERN,Terns Pharmaceuticals Inc. (TERN),2.71,0.31,12.92
RGNX,REGENXBIO Inc. (RGNX),6.67,0.73,12.29
STOK,Stoke Therapeutics Inc. (STOK),8.61,0.92,11.96
JSPR,Jasper Therapeutics Inc. (JSPR),4.44,0.47,11.84
NPB,Northpointe Bancshares Inc. (NPB),13.13,1.38,11.74
DBVT,DBV Technologies S.A. ADR (DBVT),8.91,0.93,11.65
AGEN,Agenus Inc. (AGEN),2.31,0.23,11.06
TOI,Oncology Institute Inc. (TOI),2.39,0.23,10.65
UPB,Upstream Bio Inc. (UPB),9.71,0.93,10.59
BLIV,BeLive Holdings (BLIV),3.35,0.31,10.20
SPAI,Safe Pro Group Inc. (SPAI),2.70,0.24,9.76
REPL,Replimune Group Inc. (REPL),8.76,0.77,9.63
NTLA,Intellia Therapeutics Inc. (NTLA),7.92,0.69,9.54
ZBIO,Zenas BioPharma Inc. (ZBIO),9.75,0.83,9.30
XNCR,Xencor Inc. (XNCR),10.60,0.90,9.28
AVR,Anteris Technologies Global Corp. (AVR),3.14,0.27,9.22
KPTI,Karyopharm Therapeutics Inc. (KPTI),5.40,0.45,9.09
INM,InMed Pharmaceuticals Inc. (INM),2.96,0.24,8.97
SAIH,SAIHEAT Ltd. (SAIH),4.10,0.33,8.75
WTF,Waton Financial Ltd. (WTF),7.04,0.56,8.64
MAZE,Maze Therapeutics Inc. (MAZE),9.13,0.72,8.56
COYA,Coya Therapeutics Inc. (COYA),5.71,0.45,8.56
KSS,Kohl's Corp. (KSS),7.02,0.54,8.33
VSTM,Verastem Inc. (VSTM),6.21,0.47,8.19
SGMT,Sagimet Biosciences Inc. (SGMT),2.39,0.18,8.14
ECOR,electroCore Inc. (ECOR),6.51,0.49,8.14
CMPS,COMPASS Pathways PLC ADR (CMPS),3.38,0.25,7.99
ALTS,ALT5 Sigma Corp. (ALTS),5.56,0.41,7.96
AVBP,ArriVent BioPharma Inc. (AVBP),19.54,1.40,7.72
SNYR,Synergy CHC Corp. (SNYR),2.68,0.19,7.63
SURG,SurgePays Inc. (SURG),2.68,0.19,7.63
ARWR,Arrowhead Pharmaceuticals Corp. (ARWR),12.08,0.84,7.47
OLMA,Olema Pharmaceuticals Inc. (OLMA),4.75,0.33,7.47
RAY,Raytech Holding Ltd. (RAY),2.74,0.19,7.45
BEAM,Beam Therapeutics Inc. (BEAM),18.24,1.24,7.29
UHG,United Homes Group Inc. (UHG),2.24,0.15,7.18
ARTV,Artiva Biotherapeutics Inc. (ARTV),2.40,0.16,7.14
CTNM,Contineum Therapeutics Inc. (CTNM),4.95,0.33,7.14
WIMI,WiMi Hologram Cloud Inc. Cl B (WIMI),4.50,0.30,7.14
SYRE,Spyre Therapeutics Inc. (SYRE),13.57,0.90,7.10
RNA,Avidity Biosciences Inc. (RNA),28.52,1.86,6.98
RAIL,FreightCar America Inc. (RAIL),5.98,0.39,6.98
SIEB,Siebert Financial Corp. (SIEB),3.58,0.23,6.87
JACK,Jack in the Box Inc. (JACK),24.81,1.59,6.85
NEOG,Neogen Corp. (NEOG),4.69,0.30,6.83
IDYA,IDEAYA Biosciences Inc. (IDYA),18.18,1.10,6.44
CGTL,Creative Global Technology Holdings Ltd. (CGTL),5.98,0.36,6.41
CDTX,Cidara Therapeutics Inc. (CDTX),20.68,1.25,6.40
VVPR,VivoPower International PLC (VVPR),2.70,0.16,6.30
AMLX,Amylyx Pharmaceuticals Inc. (AMLX),4.23,0.25,6.28
MSPR,MSP Recovery Inc. (MSPR),2.20,0.13,6.28
WWW,Wolverine World Wide Inc. (WWW),11.46,0.67,6.21
GPCR,Structure Therapeutics Inc. ADR (GPCR),23.10,1.34,6.16
CRMD,CorMedix Inc. (CRMD),8.14,0.47,6.13
SNCR,Synchronoss Technologies Inc. (SNCR),10.35,0.59,6.05
HSAI,Hesai Group ADR (HSAI),11.61,0.66,6.03
CAPR,Capricor Therapeutics Inc. (CAPR),11.92,0.67,5.96
TBPH,Theravance Biopharma Inc. (TBPH),9.13,0.51,5.92
ATYR,aTyr Pharma Inc. (ATYR),3.28,0.18,5.81
CMCL,Caledonia Mining Corp. PLC (CMCL),14.22,0.78,5.80
BLMN,Bloomin' Brands Inc. (BLMN),8.40,0.45,5.66
MB,MasterBeef Group (MB),3.25,0.17,5.52
SEAT,Vivid Seats Inc. (SEAT),2.43,0.13,5.42
SAGT,Sagtec Global Ltd. (SAGT),2.42,0.12,5.42
EPSM,Epsium Enterprise Ltd. (EPSM),5.27,0.27,5.42
SPCB,SuperCom Ltd. (SPCB),6.74,0.34,5.39
SKBL,Skyline Builders Group Holding Ltd. Cl A (SKBL),11.95,0.61,5.38
TECX,Tectonic Therapeutic Inc. (TECX),17.92,0.90,5.29
ALT,Altimmune Inc. (ALT),4.79,0.24,5.27
International,Dogness (International) Corp. (DOGZ),17.07,0.85,5.24
REE,REE Automotive Ltd. (REE),2.64,0.13,5.18
FULC,Fulcrum Therapeutics Inc. (FULC),3.46,0.17,5.17
BMR,Beamr Imaging Ltd. (BMR),2.24,0.11,5.16
DENN,Denny's Corp. (DENN),3.27,0.16,5.14
MTA,Metalla Royalty & Streaming Ltd. (MTA),3.30,0.16,5.10
PCRX,Pacira BioSciences Inc. (PCRX),25.90,1.25,5.07
VOXR,Vox Royalty Corp. (VOXR),3.55,0.17,5.03
Cayman,Dingdong (Cayman) Ltd. ADR (DDL),2.31,0.11,5.00
AENT,Alliance Entertainment Holding Corp. (AENT),2.95,0.14,4.98
