symbol,price,price_change,price_percent_change
PONY,10.32,3.31,47.15
UPC,5.91,1.71,40.63
ZYBT,14.25,3.81,36.49
WOLF,4.19,0.92,28.06
LCFY,5.02,1.06,26.77
RGLS,3.50,0.73,26.63
JNVR,65.35,13.44,25.89
CGON,27.93,5.56,24.85
SLSN,3.10,0.61,24.43
PRTG,10.51,2.06,24.38
ALMU,10.14,1.80,21.61
RGC,33.95,4.94,17.03
AGEN,3.15,0.45,16.67
COEP,8.95,1.25,16.23
MFH,7.68,1.06,16.01
NEON,12.81,1.76,15.93
CLBR,13.31,1.81,15.74
EDHL,4.15,0.56,15.60
SABR,2.53,0.34,15.53
URGN,11.28,1.41,14.29
XNET,4.43,0.55,14.21
DMAC,4.61,0.57,14.11
KALA,3.62,0.45,13.99
TVRD,21.45,2.60,13.79
QSG,5.71,0.67,13.29
TRVG,4.11,0.47,12.91
RAIN,3.33,0.38,12.88
ADMA,24.54,2.67,12.24
CVRX,7.55,0.82,12.18
CCM,5.96,0.64,12.09
PROP,4.10,0.43,11.89
RZLV,2.34,0.24,11.72
MSGM,2.68,0.28,11.67
LPTH,2.44,0.25,11.42
OST,3.01,0.30,11.07
CHA,34.45,3.34,10.74
FL,12.95,1.22,10.40
AMPY,2.96,0.27,9.85
AOMR,9.34,0.86,10.14
AMIX,2.29,0.21,10.10
BHVN,21.78,1.95,9.80
CLDX,21.44,1.88,9.58
TATT,27.78,2.38,9.37
TMC,3.33,0.28,9.14
SAGT,4.04,0.34,9.14
SAIH,7.53,0.63,9.13
FTCI,3.46,0.28,8.81
MB,3.31,0.26,8.65
NDRA,4.32,0.34,8.54
NVEE,17.43,1.37,8.53
ALBT,4.02,0.31,8.36
AVR,5.40,0.41,8.33
WKSP,3.08,0.23,8.27
SEPN,6.99,0.53,8.20
KPTI,6.08,0.46,8.18
NTRB,5.75,0.43,8.08
SND,2.23,0.17,7.99
ATPC,2.38,0.17,7.70
FORD,6.09,0.43,7.60
RAPP,11.42,0.80,7.53
EVLV,4.18,0.28,7.33
OTLY,9.98,0.68,7.31
MTSR,19.88,1.35,7.29
CVAC,3.46,0.23,7.28
RVMD,41.58,2.81,7.25
VEON,45.71,3.08,7.22
SPCE,3.06,0.21,7.37
USAU,10.33,0.69,7.16
CDTG,2.53,0.17,7.14
XGN,6.65,0.44,7.09
NIO,4.31,0.28,7.02
LUMN,3.58,0.23,7.01
EYPT,6.82,0.45,6.99
TIGR,8.26,0.53,6.86
SMHI,5.23,0.33,6.73
ETNB,7.40,0.46,6.63
XMTR,26.82,1.67,6.62
USAR,12.94,0.80,6.59
DBVT,9.09,0.56,6.51
CIVB,22.43,1.37,6.51
OPRA,16.54,1.01,6.50
KRMD,2.63,0.16,6.48
PNBK,3.86,0.23,6.47
AMBO,2.80,0.17,6.46
GAIA,5.01,0.30,6.37
HPH,8.17,0.48,6.24
KALU,64.44,3.79,6.24
EPWK,13.50,0.79,6.22
XPOF,8.30,0.48,6.21
SCLX,4.96,0.29,6.21
ATHR,6.21,0.36,6.11
SOHU,10.50,0.60,6.11
CRVO,9.16,0.53,6.08
CBLL,16.24,0.93,6.07
DUOT,7.09,0.40,5.98
OCUL,8.16,0.46,5.90
SGMT,3.34,0.18,5.87
CIA,4.54,0.25,5.83
SRDX,31.14,1.68,5.70
SXTC,2.42,0.13,5.68
