Symbol,Name,Last Price,Change,Change %
CEP,Cantor Equity Partners Inc. (CEP),35.30,10.50,42.34
UPXI,Upexi Inc. (UPXI),18.21,4.69,34.69
JAGX,Jaguar Health Inc. (JAGX),10.07,2.02,25.00
ELAB,PMGC Holdings Inc. (ELAB),2.66,0.44,19.82
NEOV,NeoVolta Inc. (NEOV),2.72,0.44,19.30
CSIQ,Canadian Solar Inc. (CSIQ),10.65,1.37,14.76
HONE,HarborOne Bancorp (HONE),11.53,1.47,14.61
EPWK,EPWK Holdings Ltd. Cl A (EPWK),12.49,1.59,14.59
NDRA,ENDRA Life Sciences Inc. (NDRA),3.95,0.50,14.49
COUR,Coursera Inc. (COUR),8.68,0.98,12.73
EHC,Encompass Health Corp. (EHC),112.36,10.95,10.79
ZCAR,Zoomcar Holdings Inc. (ZCAR),4.18,0.40,10.66
TGL,Treasure Global Inc. (TGL),2.67,0.25,10.33
CHTR,Charter Communications Inc. Cl A (CHTR),369.30,33.97,10.13
LBRDK,Liberty Broadband Corp. Cl C (LBRDK),85.18,7.82,10.11
LBRDA,Liberty Broadband Corp. Cl A (LBRDA),84.00,7.50,9.80
SPHR,Sphere Entertainment Co. (SPHR),29.03,2.56,9.67
BBAI,BigBear.ai Inc. (BBAI),3.18,0.27,9.28
HDSN,Hudson Technologies Inc. (HDSN),6.26,0.51,8.87
CORZ,Core Scientific Inc. (CORZ),8.19,0.66,8.76
ZYBT,Zhengye Biotechnology Holding Ltd. (ZYBT),11.47,0.92,8.72
VRSN,VeriSign Inc. (VRSN),274.50,21.91,8.67
OBIO,Orchestra BioMed Holdings Inc. (OBIO),2.80,0.22,8.53
TSLA,Tesla Inc. (TSLA),281.48,21.98,8.47
NTGR,NETGEAR Inc. (NTGR),24.32,1.90,8.45
CLPT,ClearPoint Neuro Inc. (CLPT),15.48,1.20,8.36
SVRE,SaverOne 2014 Ltd. ADR (SVRE),2.47,0.19,8.33
DMYY,dMY Squared Technology Group Inc. Cl A (DMYY),13.00,0.96,7.97
OST,Ostin Technology Group Co. Ltd. (OST),2.99,0.22,7.94
BWLP,BW LPG Ltd. (BWLP),10.48,0.76,7.85
FIX,Comfort Systems USA Inc. (FIX),405.61,29.40,7.81
SPIR,Spire Global Inc. (SPIR),10.37,0.75,7.80
SXT,Sensient Technologies Corp. (SXT),86.24,6.11,7.62
ARRY,Array Technologies Inc. (ARRY),4.90,0.34,7.46
EVLV,Evolv Technologies Holdings Inc. (EVLV),3.78,0.25,7.08
FPH,Five Point Holdings LLC Cl A (FPH),5.56,0.36,6.92
SMLR,Semler Scientific Inc. (SMLR),36.81,2.37,6.88
UPC,Universe Pharmaceuticals Inc. (UPC),4.06,0.26,6.84
NEON,Neonode Inc. (NEON),10.80,0.67,6.61
MCRB,Seres Therapeutics Inc. (MCRB),9.67,0.59,6.50
SHLS,Shoals Technologies Group Inc. (SHLS),3.62,0.21,6.32
FLG,Flagstar Financial Inc. (FLG),11.96,0.69,6.17
CVRX,CVRx Inc. (CVRX),6.86,0.39,5.94
IOVA,Iovance Biotherapeutics Inc. (IOVA),3.56,0.20,5.80
SEM,Select Medical Holdings Corp. (SEM),17.52,0.94,5.67
MYNZ,Mainz Biomed N.V. (MYNZ),3.38,0.18,5.63
SURG,SurgePays Inc. (SURG),3.41,0.18,5.57
NIU,Niu Technologies ADR (NIU),3.36,0.17,5.49
EVTL,Vertical Aerospace Ltd. (EVTL),3.87,0.20,5.45
SJT,San Juan Basin Royalty Trust (SJT),6.18,0.31,5.28
LOAR,Loar Holdings Inc. (LOAR),96.62,4.77,5.19
CZR,Caesars Entertainment Inc. (CZR),28.57,1.40,5.15
BTCT,BTC Digital Ltd. (BTCT),4.29,0.21,5.15
CPS,Cooper-Standard Holdings Inc. (CPS),14.08,0.68,5.04
EBS,Emergent Biosolutions Inc. (EBS),5.64,0.27,5.01
LPG,Dorian LPG Ltd. (LPG),22.02,1.04,4.98
AMPY,Amplify Energy Corp. (AMPY),2.66,0.13,4.92
LU,Lufax Holding Ltd. ADR (LU),3.10,0.14,4.92
MSTR,MicroStrategy Inc. (MSTR),367.36,17.02,4.86
DAR,Darling Ingredients Inc. (DAR),31.92,1.47,4.83
BYD,Boyd Gaming Corp. (BYD),69.19,3.15,4.77
RUN,SunRun Inc. (RUN),7.39,0.34,4.75
JKS,JinkoSolar Holding Co. Ltd. ADR (JKS),17.64,0.80,4.75
SAM,Boston Beer Co. Cl A (SAM),253.90,11.49,4.74
BWB,Bridgewater Bancshares Inc. (BWB),14.47,0.65,4.70
TOPW,Top Win International Ltd. (TOPW),2.62,0.12,4.64
AMBP,Ardagh Metal Packaging S.A. (AMBP),3.76,0.17,4.58
ORC,Orchid Island Capital Inc. (ORC),7.24,0.31,4.47
BRBS,Blue Ridge Bankshares Inc. (BRBS),3.58,0.15,4.37
SOFI,SoFi Technologies Inc. (SOFI),12.83,0.52,4.24
AISP,Airship AI Holdings Inc. Cl A (AISP),3.84,0.15,4.21
DWTX,Dogwood Therapeutics Inc. (DWTX),5.89,0.23,4.06
XGN,Exagen Inc. (XGN),6.09,0.24,4.04
WING,Wingstop Inc. (WING),226.28,8.69,3.99
PENN,PENN Entertainment Inc. (PENN),15.75,0.60,3.96
TNK,Teekay Tankers Ltd. (TNK),42.31,1.57,3.85
PHVS,Pharvaris N.V. (PHVS),16.44,0.61,3.85
TNXP,Tonix Pharmaceuticals Holding Corp. (TNXP),17.85,0.66,3.84
FLNC,Fluence Energy Inc. (FLNC),4.06,0.15,3.84
RMNI,Rimini Street Inc. (RMNI),3.37,0.12,3.69
SHCO,Soho House & Co. Inc. (SHCO),5.93,0.21,3.67
CIFR,Cipher Mining Inc. (CIFR),3.11,0.11,3.67
OXSQ,Oxford Square Capital Corp. (OXSQ),2.53,0.09,3.63
ALTS,ALT5 Sigma Corp. (ALTS),6.00,0.21,3.63
VSTM,Verastem Inc. (VSTM),7.77,0.27,3.60
QMCO,Quantum Corp. (QMCO),11.79,0.41,3.59
HPH,Highest Performances Holdings Inc. ADR (HPH),7.50,0.26,3.59
ALNY,Alnylam Pharmaceuticals Inc. (ALNY),251.32,8.71,3.59
CRVO,CervoMed Inc. (CRVO),9.12,0.32,3.58
VRT,Vertiv Holdings LLC (VRT),86.85,2.97,3.54
INDO,Indonesia Energy Corp. Ltd. (INDO),2.34,0.08,3.54
TK,Teekay Corp. Ltd. (TK),7.05,0.24,3.52
CMG,Chipotle Mexican Grill Inc. (CMG),51.28,1.74,3.51
RNR,RenaissanceRe Holdings Ltd. (RNR),235.87,7.93,3.48
DOMH,Dominari Holdings Inc. (DOMH),4.76,0.16,3.48
ZIM,ZIM Integrated Shipping Services Ltd. (ZIM),14.59,0.49,3.48
NVGS,Navigator Holdings Ltd. (NVGS),12.88,0.43,3.45
