symbol,price,price_change,price_percent_change
SXT,91.12,10.980003,13.701028
EHC,113.37,11.959999,11.793707
AKESF,13.4,1.3999996,11.666664
LBRDK,86.26,8.900002,11.504655
CHTR,372.92,37.590027,11.209862
LBRDA,84.96,8.459999,11.058822
CORZ,8.3,0.77,10.225763
TSLA,284.85,25.339996,9.764554
VRSN,272.65,20.059998,7.941723
SHECY,14.61,0.6999998,5.0323496
GSHD,99.61,6.419998,6.889149
PENN,16.15,1.0,6.6006603
LOAR,96.99,5.1399994,5.59608
FIX,397.44,21.230011,5.6431274
RDDT,118.18,5.9300003,5.2828507
MSTR,368.77,18.429993,5.260602
MRX,42.69,2.0099983,4.9409986
ALPMY,10.05,0.4800005,5.0156794
DAR,31.91,1.4599991,4.7947426
SEM,17.35,0.77000046,4.644152
FNMAS,11.5,0.52999973,4.8313556
CMG,51.7601,2.2201004,4.48143
CZR,28.44,1.2700005,4.674275
CX,5.94,0.25,4.393673
SMCAY,16.44,0.7400007,4.713381
PLTR,112.78,5.0,4.6390796
ZETA,13.12,0.55999947,4.4585943
SOFI,12.88,0.5699997,4.630379
FHI,40.085,1.7849998,4.660574
WING,227.3,9.710007,4.4625244
BYD,68.88,2.8399963,4.3004184
RIVN,12.62,0.52999973,4.383786
MBLY,15.131,0.63099957,4.352021
BE,18.935,0.7950001,4.3825803
FMCKJ,10.73,0.43999958,4.275992
NVDA,110.97,4.540001,4.2657156
UPST,48.68,1.9700012,4.217515
FSLR,141.9,5.4599915,4.001753
ZGN,8.03,0.33999968,4.4213223
DLR,159.92,6.169998,4.013007
STRL,151.75,5.75,3.938356
TNXP,17.82,0.62999916,3.6649163
AEIS,100.67,3.75,3.8691707
FLG,11.73,0.45999908,4.0816245
RNECY,6.21,0.23000002,3.8461542
CFLT,24.125,0.8649998,3.7188296
FANUY,13.01,0.47000027,3.7480085
ALNY,251.63,9.020004,3.717903
MRK,82.74,2.9000015,3.6322665
VRT,87.12,3.2400055,3.8626676
ANET,77.8999,2.6099014,3.4669209
HTHIY,26.34,0.8999996,3.5377343
FTAI,104.94,3.5699997,3.5217516
APP,276.972,9.09198,3.3955958
RNR,235.4,7.4599915,3.2727873
GTLB,47.18,1.5100021,3.3063328
GEV,372.44,11.950012,3.314936
RMBS,50.94,1.579998,3.2009683
ABBV,186.17,5.800003,3.215614
BRZE,31.22,0.8899994,2.9343865
MNDY,273.98,8.300018,3.124066
NXT,43.65,1.300003,3.069665
FTI,28.335,0.8349991,3.0363603
IRM,87.735,2.415001,2.8305216
MU,79.78,2.3600006,3.0483088
CRDO,43.71,1.3199997,3.1139412
CAR,93.821,2.4309998,2.6600282
FRSH,14.075,0.43499947,3.1891456
WFRD,42.74,1.300003,3.137073
SMNNY,13.96,0.40999985,3.025829
