Symbol,Name,Last Price,Change,Change %
CGON,"CG Oncology, Inc.",30.94,8.57,38.310234
ADMA,ADMA Biologics Inc,24.87,3.0100002,13.769443
SMMT,Summit Therapeutics Inc.,25.955,2.4899998,10.600254
PONY,Pony AI Inc.,7.7789,0.7688999,10.968615
HIMS,"Hims & Hers Health, Inc.",29.16,1.0699997,3.8091836
SSII,SS Innovations International In,12.4089,1.0588999,9.329514
BHVN,Biohaven Ltd.,21.75,1.9099998,9.627015
VEON,VEON Ltd.,46.46,3.829998,8.984279
LKNCY,Luckin Coffee Inc.,34.93,1.9399986,5.8805656
AUR,"Aurora Innovation, Inc.",7.275,0.39499998,5.7371097
RVMD,"Revolution Medicines, Inc.",41.12,2.3499985,6.0613837
RNECY,Renesas Electronics Corp,6.25,0.27,4.51505
BNTX,BioNTech SE,106.445,4.425003,4.337388
IRDM,Iridium Communications Inc,24.1,0.94000053,4.0587244
RXRX,"Recursion Pharmaceuticals, Inc.",5.97,0.23999977,4.1884775
VKTX,"Viking Therapeutics, Inc.",25.76,0.77000046,3.0812345
OGN,Organon & Co.,12.66,0.46000004,3.770492
CGNX,Cognex Corporation,27.15,0.9899998,3.7844028
SMG,Scotts Miracle-Gro Company (The,55.0865,2.0064964,3.7801363
VRNA,Verona Pharma plc,67.85,2.3899994,3.6510837
QXO,"QXO, Inc.",13.305,0.4250002,3.299691
ARLP,"Alliance Resource Partners, L.P",28.07,0.9300003,3.4266777
BBWI,"Bath & Body Works, Inc.",30.51,0.9300003,3.1461446
LI,Li Auto Inc.,24.2797,0.7996998,3.4058764
CRNX,"Crinetics Pharmaceuticals, Inc.",33.51,1.1199989,3.457854
IPGP,IPG Photonics Corporation,59.885,1.7349968,2.9836574
ECG,"Everus Construction Group, Inc.",41.64,0.7900009,1.9339068
STNE,StoneCo Ltd.,14.2,0.4499998,3.2727258
VIPS,Vipshop Holdings Limited,13.655,0.41499996,3.1332576
NCLH,Norwegian Cruise Line Holdings ,17.795,0.56500053,3.2791674
W,Wayfair Inc.,30.25,1.0,3.4188035
PTON,"Peloton Interactive, Inc.",6.515,0.2249999,3.577105
SWTX,"SpringWorks Therapeutics, Inc.",46.105,1.3849983,3.0970445
TEVA,Teva Pharmaceutical Industries ,15.33,0.46000004,3.093477
INTC,Intel Corporation,20.625,0.57500076,2.8685496
CX,"Cemex, S.A.B. de C.V. Sponsored",6.105,0.18499994,3.122362
