Symbol,Name,Last Price,Change,Change %
MLGO,MicroAlgo Inc.,,11.86+5.08(+74.93%),+5.08
FRGE,"Forge Global Holdings, Inc.",,12.30+3.61(+41.54%),+3.61
HPH,Highest Performances Holdings Inc.,,8.32+1.92(+30.00%),+1.92
TXHPF,"TechnoPro Holdings, Inc.",,20.03+2.03(+11.31%),+2.03
RNA,"Avidity Biosciences, Inc.",,28.52+1.86(+6.98%),+1.86
DSNKY,"Daiichi Sankyo Company, Limited",,22.85+1.15(+5.30%),+1.15
AMRN,Amarin Corporation plc,,9.55+0.44(+4.83%),+0.44
ATHM,Autohome Inc.,,27.04+1.22(+4.73%),+1.22
MLTX,MoonLake Immunotherapeutics,,40.00+1.67(+4.37%),+1.67
KTB,"Kontoor Brands, Inc.",,57.33+2.33(+4.24%),+2.33
NCLTY,"Nitori Holdings Co., Ltd.",,12.66+0.48(+3.94%),+0.48
SVNDY,"Seven & i Holdings Co., Ltd.",,14.25+0.53(+3.86%),+0.53
EXAS,Exact Sciences Corporation,,43.10+1.52(+3.66%),+1.52
TBBB,BBB Foods Inc.,,26.94+0.95(+3.66%),+0.95
YMM,Full Truck Alliance Co. Ltd.,,10.43+0.36(+3.57%),+0.36
DFS,Discover Financial Services,,165.31+5.68(+3.56%),+5.68
ANGI,Angi Inc.,,12.00+0.40(+3.45%),+0.40
BVN,Compañía de Minas Buenaventura S.A.A.,,14.77+0.47(+3.29%),+0.47
GOFPY,Organization of Football Prognostics S.A.,,11.36+0.36(+3.27%),+0.36
BANF,BancFirst Corporation,,113.08+3.54(+3.23%),+3.54
BNTX,BioNTech SE,,101.81+3.05(+3.09%),+3.05
ZLAB,Zai Lab Limited,,29.71+0.87(+3.02%),+0.87
