Symbol,Name,Last Price,Change,Change %
CEP,Cantor Equity Partners Inc. (CEP),25.17,8.67,52.52
TMC,TMC the metals company Inc. (TMC),3.68,1.13,44.32
PONY,Pony AI Inc. ADR (PONY),7.57,2.14,39.41
AREN,Arena Group Holdings Inc. (AREN),4.58,1.22,36.31
ZYBT,Zhengye Biotechnology Holding Ltd. (ZYBT),10.55,2.73,34.91
EPWK,EPWK Holdings Ltd. Cl A (EPWK),10.89,2.77,34.11
OST,Ostin Technology Group Co. Ltd. (OST),2.80,0.71,33.97
XELB,Xcel Brands Inc. (XELB),3.02,0.72,31.59
AMBP,Ardagh Metal Packaging S.A. (AMBP),3.60,0.83,30.25
SAGT,Sagtec Global Ltd. (SAGT),3.31,0.73,28.46
AREB,American Rebel Holdings Inc. (AREB),3.93,0.86,28.10
EPSM,Epsium Enterprise Ltd. (EPSM),6.89,1.51,28.07
HOLO,MicroCloud Hologram Inc. (HOLO),14.74,3.16,27.29
SHYF,Shyft Group Inc. (SHYF),9.22,1.92,26.23
KWE,KWESST Micro Systems Inc. (KWE),5.78,1.20,26.13
PLL,Piedmont Lithium Inc. (PLL),8.91,1.76,24.62
SURG,SurgePays Inc. (SURG),3.24,0.60,23.00
WOLF,Wolfspeed Inc. (WOLF),3.14,0.57,22.37
ALMU,Aeluma Inc. (ALMU),8.46,1.51,21.73
UPXI,Upexi Inc. (UPXI),13.40,2.39,21.73
USAR,USA Rare Earth Inc. (USAR),13.22,2.34,21.51
SINT,SiNtx Technologies Inc. (SINT),2.70,0.46,20.54
ENGS,Energys Group Ltd. (ENGS),8.82,1.50,20.44
STAK,STAK Inc. (STAK),2.83,0.48,20.43
JAGX,Jaguar Health Inc. (JAGX),8.01,1.34,20.09
ZENA,ZenaTech Inc. (ZENA),2.63,0.44,20.07
UMAC,Unusual Machines Inc. (UMAC),6.30,1.00,18.96
CYH,Community Health Systems Inc. (CYH),2.88,0.45,18.31
GES,Guess? Inc. (GES),11.75,1.81,18.21
FARO,FARO Technologies Inc. (FARO),31.13,4.73,17.92
CSIQ,Canadian Solar Inc. (CSIQ),9.26,1.40,17.81
HZO,MarineMax Inc. (HZO),22.74,3.42,17.68
MBOT,Microbot Medical Inc. (MBOT),2.44,0.35,17.07
VCIG,VCI Global Ltd. (VCIG),4.68,0.68,17.02
PI,Impinj Inc. (PI),89.73,12.66,16.43
DDC,DDC Enterprise Ltd. (DDC),2.56,0.36,16.36
IRBT,iRobot Corp. (IRBT),2.43,0.33,15.89
NOW,ServiceNow Inc. (NOW),939.68,126.98,15.62
IVDA,Iveda Solutions Inc. (IVDA),2.85,0.38,15.38
OCX,Oncocyte Corp. (OCX),3.40,0.45,15.25
SHFS,SHF Holdings Inc. (SHFS),3.80,0.50,15.15
ELPW,Elong Power Holding Ltd. (ELPW),3.09,0.40,14.87
WIMI,WiMi Hologram Cloud Inc. Cl B (WIMI),5.66,0.73,14.81
TECX,Tectonic Therapeutic Inc. (TECX),22.39,2.85,14.59
HAS,Hasbro Inc. (HAS),60.36,7.67,14.56
GSRTR,GSR III Acquisition Corp. Rt (GSRTR),2.70,0.34,14.41
ECOR,electroCore Inc. (ECOR),7.53,0.94,14.26
TTEC,TTEC Holdings Inc. (TTEC),4.38,0.55,14.23
AVR,Anteris Technologies Global Corp. (AVR),5.10,0.62,13.84
MTLS,Materialise N.V. ADR (MTLS),5.27,0.64,13.82
MP,MP Materials Corp. (MP),26.00,3.11,13.59
INDV,Indivior PLC (INDV),10.73,1.28,13.54
BKSY,BlackSky Technology Inc. (BKSY),8.16,0.96,13.33
CRBP,Corbus Pharmaceuticals Holdings Inc. (CRBP),8.35,0.96,12.99
SERV,Serve Robotics Inc. (SERV),6.66,0.77,12.97
NFE,New Fortress Energy LLC Cl A (NFE),5.88,0.67,12.74
LU,Lufax Holding Ltd. ADR (LU),2.94,0.33,12.40
FCUV,Focus Universal Inc. (FCUV),4.72,0.52,12.38
NNE,Nano Nuclear Energy Inc. (NNE),23.05,2.53,12.33
MCHP,Microchip Technology Inc. (MCHP),47.07,5.14,12.26
AOSL,Alpha & Omega Semiconductor Inc. (AOSL),19.52,2.09,11.99
SGMT,Sagimet Biosciences Inc. (SGMT),3.10,0.33,11.89
ENTX,Entera Bio Ltd. (ENTX),2.32,0.24,11.84
BCTX,BriaCell Therapeutics Corp. (BCTX),6.07,0.64,11.79
CLNN,Clene Inc. (CLNN),3.16,0.33,11.66
BMEA,Biomea Fusion Inc. (BMEA),2.30,0.24,11.65
LSCC,Lattice Semiconductor Corp. (LSCC),49.01,5.11,11.64
TOI,Oncology Institute Inc. (TOI),3.22,0.34,11.63
ATRA,Atara Biotherapeutics Inc. (ATRA),7.70,0.80,11.59
BKKT,Bakkt Holdings Inc. (BKKT),10.09,1.04,11.49
GRAL,GRAIL Inc. (GRAL),37.63,3.87,11.46
PSIX,Power Solutions International Inc. (PSIX),26.80,2.75,11.43
APLD,Applied Digital Corp. (APLD),4.53,0.45,11.03
TREE,LendingTree Inc. (TREE),51.56,5.17,11.13
SVCO,Silvaco Group Inc. (SVCO),5.20,0.52,11.11
AEVA,Aeva Technologies Inc. (AEVA),7.48,0.74,10.98
CVLG,Covenant Logistics Group Inc. Cl A (CVLG),20.86,2.06,10.96
IPI,Intrepid Potash Inc. (IPI),33.21,3.27,10.92
HCSG,Healthcare Services Group Inc. (HCSG),13.52,1.33,10.91
SEZL,Sezzle Inc. (SEZL),47.34,4.50,10.50
SMMT,Summit Therapeutics Inc. (SMMT),36.68,3.45,10.38
SMHI,SEACOR Marine Holdings Inc. (SMHI),5.00,0.47,10.38
ALLE,Allegion PLC (ALLE),139.50,13.04,10.31
KVYO,Klaviyo Inc. (KVYO),28.94,2.70,10.29
FTRE,Fortrea Holdings Inc. (FTRE),5.86,0.55,10.24
PAL,Proficient Auto Logistics Inc. (PAL),9.11,0.84,10.16
RMD,ResMed Inc. (RMD),236.10,21.66,10.10
VSH,Vishay Intertechnology Inc. (VSH),12.92,1.19,10.09
PAYS,Paysign Inc. (PAYS),2.41,0.22,10.05
DPRO,Draganfly Inc. (DPRO),2.77,0.25,9.92
URI,United Rentals Inc. (URI),647.56,58.35,9.90
ATLX,Atlas Lithium Corp. (ATLX),4.45,0.40,9.88
GSIT,GSI Technology Inc. (GSIT),3.01,0.27,9.85
ENTG,Entegris Inc. (ENTG),79.60,7.11,9.81
FTI,TechnipFMC PLC (FTI),27.47,2.44,9.75
TALK,Talkspace Inc. (TALK),3.10,0.28,9.72
AMTM,Amentum Holdings Inc. (AMTM),21.66,1.91,9.67
MBLY,Mobileye Global Inc. Cl A (MBLY),14.48,1.27,9.66
OUST,Ouster Inc. (OUST),7.74,0.68,9.63
CTGO,Contango ORE Inc. (CTGO),14.69,1.29,9.63
