Symbol,Name,Last Price,Change,Change %
SNOA,Sonoma Pharmaceuticals Inc. (SNOA),3.95,1.62,69.53
CEP,Cantor Equity Partners Inc. (CEP),16.50,5.88,55.37
EPWK,EPWK Holdings Ltd. Cl A (EPWK),8.12,2.73,50.65
PRPO,Precipio Inc. (PRPO),7.70,2.25,41.28
PLUR,Pluri Inc. (PLUR),6.75,1.95,40.62
AREB,American Rebel Holdings Inc. (AREB),3.07,0.86,38.91
BSLK,Bolt Projects Holdings Inc. (BSLK),7.13,1.82,34.27
AREN,Arena Group Holdings Inc. (AREN),3.36,0.83,32.81
PONY,Pony AI Inc. ADR (PONY),5.43,1.27,30.53
HCSG,Healthcare Services Group Inc. (HCSG),12.19,2.78,29.54
PEGA,Pegasystems Inc. (PEGA),88.55,19.79,28.78
RZLT,Rezolute Inc. (RZLT),3.97,0.86,27.65
AVR,Anteris Technologies Global Corp. (AVR),4.48,0.97,27.64
MIND,MIND Technology Inc. (MIND),6.88,1.44,26.47
ENGS,Energys Group Ltd. (ENGS),7.32,1.47,25.13
TIL,Instil Bio Inc. (TIL),20.52,4.03,24.44
ATHR,Aether Holdings Inc. (ATHR),6.24,1.18,23.18
JNVR,Janover Inc. (JNVR),55.06,10.20,22.74
MAXN,Maxeon Solar Technologies Ltd. (MAXN),3.35,0.62,22.71
NDRA,ENDRA Life Sciences Inc. (NDRA),3.78,0.69,22.52
UPXI,Upexi Inc. (UPXI),11.01,2.01,22.33
SMMT,Summit Therapeutics Inc. (SMMT),33.23,5.88,21.50
NVAX,Novavax Inc. (NVAX),7.47,1.22,19.52
WGRX,Wellgistics Health Inc. (WGRX),4.17,0.68,19.31
MCRB,Seres Therapeutics Inc. (MCRB),9.73,1.57,19.24
XYF,X Financial ADR (XYF),13.77,2.13,18.30
XGN,Exagen Inc. (XGN),5.72,0.88,18.18
SBEV,Splash Beverage Group Inc. (SBEV),8.00,1.23,18.17
COMM,CommScope Holding Co. Inc. (COMM),3.79,0.56,17.34
BDMD,Baird Medical Investment Holdings Ltd. (BDMD),6.64,0.91,15.88
BLIV,BeLive Holdings (BLIV),4.34,0.58,15.43
TEM,Tempus AI Inc. (TEM),49.55,6.32,14.62
PSIX,Power Solutions International Inc. (PSIX),24.05,3.03,14.41
FATN,FatPipe Inc. (FATN),11.55,1.45,14.36
QBTS,D-Wave Quantum Inc. (QBTS),7.13,0.88,14.08
TNXP,Tonix Pharmaceuticals Holding Corp. (TNXP),17.02,2.06,13.77
SPAI,Safe Pro Group Inc. (SPAI),3.93,0.47,13.75
GRAL,GRAIL Inc. (GRAL),33.76,4.07,13.71
RGNX,REGENXBIO Inc. (RGNX),8.87,1.05,13.43
SXTP,60 Degrees Pharmaceuticals Inc. (SXTP),3.01,0.34,12.73
ATXS,Astria Therapeutics Inc. (ATXS),5.20,0.58,12.55
PLX,Protalix BioTherapeutics Inc. (PLX),2.96,0.33,12.55
EXOD,Exodus Movement Inc. (EXOD),44.09,4.90,12.50
YSG,Yatsen Holding Ltd. ADR (YSG),4.59,0.51,12.50
SWIM,Latham Group Inc. (SWIM),5.55,0.61,12.35
NVCT,Nuvectis Pharma Inc. (NVCT),10.41,1.14,12.30
BCAX,Bicara Therapeutics Inc. (BCAX),15.51,1.69,12.23
MFH,Mercurity Fintech Holding Inc. (MFH),6.63,0.72,12.18
VCIG,VCI Global Ltd. (VCIG),4.00,0.43,12.04
SERV,Serve Robotics Inc. (SERV),5.90,0.63,11.95
NUKK,Nukkleus Inc. (NUKK),16.00,1.70,11.89
NGNE,Neurogene Inc. (NGNE),15.44,1.61,11.64
SUNE,SUNation Energy Inc. (SUNE),2.88,0.30,11.63
DJT,Trump Media & Technology Group Corp. (DJT),26.38,2.73,11.54
CMPS,COMPASS Pathways PLC ADR (CMPS),3.98,0.41,11.48
API,Agora Inc. ADR (API),2.93,0.30,11.41
BLFS,BioLife Solutions Inc. (BLFS),24.35,2.46,11.24
AARD,Aardvark Therapeutics Inc. (AARD),8.52,0.86,11.23
