symbol,price,price_change,price_percent_change
CEP,24.80,8.30,50.30
PONY,7.57,2.14,39.41
ZYBT,10.55,2.73,34.91
EPWK,10.90,2.78,34.24
SAGT,3.42,0.84,32.56
XELB,3.00,0.70,30.72
AMBP,3.60,0.84,30.43
EPSM,6.94,1.56,29.00
AREB,3.92,0.85,27.69
SHYF,9.21,1.91,26.16
STAK,2.94,0.59,25.11
ENGS,9.14,1.82,24.86
PLL,8.91,1.76,24.62
SURG,3.23,0.60,22.81
UPXI,13.52,2.51,22.80
WOLF,3.14,0.57,22.18
ALMU,8.46,1.51,21.73
USAR,13.23,2.35,21.60
SINT,2.72,0.48,21.43
JAGX,8.06,1.39,20.84
UMAC,6.34,1.04,19.62
IVDA,2.94,0.47,19.03
ZENA,2.60,0.41,18.72
CYH,2.88,0.45,18.52
FARO,31.23,4.83,18.30
VCIG,4.73,0.73,18.25
CSIQ,9.28,1.42,18.07
KLXE,2.10,0.32,17.98
HZO,22.67,3.35,17.34
DTSS,2.24,0.33,17.28
GES,11.65,1.71,17.20
PI,89.75,12.68,16.45
IRBT,2.44,0.34,16.19
NOW,938.57,125.87,15.49
WIMI,5.68,0.75,15.21
SHFS,3.80,0.50,15.15
OCX,3.39,0.44,14.92
AVR,5.14,0.66,14.73
HAS,60.37,7.68,14.58
ECOR,7.55,0.96,14.57
TECX,22.38,2.84,14.53
YAAS,2.23,0.28,14.36
MTLS,5.29,0.66,14.25
TTEC,4.37,0.54,14.10
HKD,2.20,0.27,13.99
INDV,10.76,1.31,13.86
MP,26.01,3.12,13.63
BKSY,8.18,0.98,13.61
CRBP,8.35,0.96,12.99
SERV,6.66,0.76,12.88
LU,2.95,0.33,12.60
NFE,5.87,0.65,12.45
SGMT,3.12,0.34,12.43
FCUV,4.72,0.52,12.38
MCHP,47.12,5.19,12.38
NNE,23.05,2.53,12.33
CLNN,3.17,0.34,12.01
AOSL,19.52,2.09,11.99
LSCC,49.09,5.19,11.82
IBIO,0.85,0.09,11.80
GRAL,37.69,3.93,11.64
PSIX,26.79,2.74,11.39
APLD,4.54,0.46,11.27
BKKT,10.06,1.01,11.16
AEVA,7.49,0.75,11.13
TREE,51.53,5.13,11.06
BCTX,6.03,0.60,11.05
HCSG,13.52,1.33,10.91
SMHI,5.02,0.49,10.82
DPRO,2.79,0.27,10.71
SEZL,47.42,4.58,10.69
SVCO,5.18,0.50,10.68
IPI,33.13,3.19,10.65
SMMT,36.70,3.47,10.44
CVLG,20.76,1.96,10.43
ALLE,139.51,13.05,10.32
KVYO,28.94,2.70,10.29
PAL,9.12,0.85,10.28
TALK,3.12,0.29,10.25
VSH,12.94,1.20,10.22
FTRE,5.86,0.54,10.15
ATRA,7.60,0.70,10.14
RMD,236.10,21.66,10.10
PAYS,2.41,0.22,10.05
GCL,2.20,0.20,10.00
ENTG,79.71,7.22,9.96
CLIK,0.26,0.02,9.95
ATLX,4.45,0.40,9.88
URI,647.36,58.15,9.87
FTI,27.50,2.47,9.87
MBLY,14.50,1.30,9.85
AMTM,21.68,1.93,9.77
AAOI,12.79,1.13,9.69
UAMY,3.77,0.33,9.59
RAIL,6.45,0.56,9.51
QMCO,11.38,0.98,9.42
CTGO,14.66,1.26,9.40
OUST,7.72,0.66,9.35
VREX,8.31,0.71,9.34
CRNC,8.93,0.76,9.30
