Symbol,Name,Last Price,Change,Change %
DWTX,Dogwood Therapeutics Inc. (DWTX),4.01,1.01,33.80
KSCP,Knightscope Inc. (KSCP),3.91,0.91,30.33
RYET,Ruanyun Edai Technology Inc. (RYET),6.55,1.33,25.48
IE,Ivanhoe Electric Inc. (IE),6.31,1.26,24.95
VERV,Verve Therapeutics Inc. (VERV),5.13,1.01,24.51
PHIO,Phio Pharmaceuticals Corp. (PHIO),2.73,0.53,24.05
FRGE,Forge Global Holdings Inc. (FRGE),11.90,2.27,23.59
DTIL,Precision Biosciences Inc. (DTIL),5.48,1.02,22.89
Cayman,Intercont (Cayman) Ltd. (NCT),7.00,1.30,22.81
VCIG,VCI Global Ltd. (VCIG),3.09,0.50,19.25
USAR,USA Rare Earth Inc. (USAR),13.99,2.24,19.06
IPX,IperionX Ltd. ADR (IPX),17.80,2.79,18.59
EOSE,Eos Energy Enterprises Inc. (EOSE),4.93,0.71,16.94
AUUD,Auddia Inc. (AUUD),5.06,0.71,16.32
TOPW,Top Win International Ltd. (TOPW),2.75,0.38,16.03
AVR,Anteris Technologies Global Corp. (AVR),2.97,0.39,15.12
RITR,Reitar Logtech Holdings Ltd. (RITR),4.18,0.48,12.97
TCRT,Alaunos Therapeutics Inc. (TCRT),2.82,0.31,12.37
JNVR,Janover Inc. (JNVR),74.02,8.08,12.26
VERO,Venus Concept Inc. (VERO),4.20,0.45,12.00
BGLC,BioNexus Gene Lab Corp. (BGLC),2.59,0.27,11.64
LXEO,Lexeo Therapeutics Inc. (LXEO),2.38,0.24,11.45
AUID,authID Inc. (AUID),7.85,0.80,11.42
YSG,Yatsen Holding Ltd. ADR (YSG),4.08,0.40,10.87
PTHL,Pheton Holdings Ltd. Cl A (PTHL),3.05,0.29,10.51
BCYC,Bicycle Therapeutics Ltd. ADR (BCYC),7.80,0.73,10.33
CTGO,Contango ORE Inc. (CTGO),13.61,1.27,10.29
NB,NioCorp Developments Ltd. (NB),2.68,0.24,9.84
RCKT,Rocket Pharmaceuticals Inc. (RCKT),6.48,0.57,9.73
CING,Cingulate Inc. (CING),4.40,0.38,9.45
ZYBT,Zhengye Biotechnology Holding Ltd. (ZYBT),5.60,0.48,9.38
MBOT,Microbot Medical Inc. (MBOT),2.48,0.20,8.99
AEVA,Aeva Technologies Inc. (AEVA),7.82,0.64,8.91
ALTI,AlTi Global Inc. (ALTI),3.36,0.27,8.74
RDW,Redwire Corp. (RDW),9.87,0.79,8.71
BLBX,Blackboxstocks Inc. (BLBX),3.37,0.27,8.71
RAY,Raytech Holding Ltd. (RAY),2.75,0.22,8.70
ANRO,Alto Neuroscience Inc. (ANRO),2.26,0.18,8.65
GRRR,Gorilla Technology Group Inc. (GRRR),19.67,1.56,8.61
THTX,Theratechnologies Inc. (THTX),2.79,0.22,8.56
VFS,VinFast Auto Ltd. (VFS),3.26,0.26,8.50
TUSK,Mammoth Energy Services Inc. (TUSK),2.46,0.18,8.15
NUTX,Nutex Health Inc. (NUTX),140.20,10.53,8.12
ERIC,Telefon AB L.M. Ericsson ADR (ERIC),8.04,0.58,7.85
SSP,E.W. Scripps Co. Cl A (SSP),2.22,0.16,7.77
EWTX,Edgewise Therapeutics Inc. (EWTX),13.28,0.95,7.70
BCG,Binah Capital Group Inc. (BCG),2.38,0.17,7.68
ANIX,Anixa Biosciences Inc. (ANIX),2.85,0.20,7.55
CRVS,Corvus Pharmaceuticals Inc. (CRVS),3.25,0.22,7.20
NXDT,NexPoint Diversified Real Estate Trust (NXDT),3.75,0.25,7.14
ROLR,High Roller Technologies Inc. (ROLR),2.93,0.19,6.97
ECOR,electroCore Inc. (ECOR),6.29,0.41,6.97
NMAX,Newsmax Inc. Cl B (NMAX),27.80,1.80,6.92
YMAB,Y-mAbs Therapeutics Inc. (YMAB),5.27,0.34,6.90
FDMT,4D Molecular Therapeutics Inc. (FDMT),2.97,0.19,6.83
PAY,Paymentus Holdings Inc. (PAY),29.84,1.84,6.59
HMR,Heidmar Maritime Holdings Corp. (HMR),2.97,0.18,6.47
RKLB,Rocket Lab USA Inc. (RKLB),20.34,1.21,6.30
SNCY,Sun Country Airlines Holdings Inc. (SNCY),10.28,0.60,6.20
TREE,LendingTree Inc. (TREE),45.65,2.63,6.13
TTAN,ServiceTitan Inc. Cl A (TTAN),111.77,6.40,6.07
ALGS,Aligos Therapeutics Inc. (ALGS),4.89,0.28,6.07
MXL,MaxLinear Inc. (MXL),10.50,0.60,6.06
AMBC,Ambac Financial Group Inc. (AMBC),7.07,0.40,6.00
LOGC,ContextLogic Inc. (LOGC),6.95,0.39,5.95
CXDO,Crexendo Inc. (CXDO),4.74,0.27,5.93
DJT,Trump Media & Technology Group Corp. (DJT),20.04,1.10,5.84
ITOS,iTeos Therapeutics Inc. (ITOS),5.85,0.32,5.79
DPRO,Draganfly Inc. (DPRO),2.57,0.14,5.76
HITI,High Tide Inc. (HITI),2.15,0.12,5.64
RGNX,REGENXBIO Inc. (RGNX),6.68,0.35,5.61
REAX,Real Brokerage Inc. (REAX),4.71,0.25,5.61
LU,Lufax Holding Ltd. ADR (LU),2.60,0.14,5.47
SRRK,Scholar Rock Holding Corp. (SRRK),30.49,1.56,5.39
KRMN,Karman Holdings Inc. (KRMN),34.25,1.75,5.38
NFLX,Netflix Inc. (NFLX),981.41,50.13,5.38
PL,Planet Labs PBC (PL),3.30,0.17,5.25
PTCT,PTC Therapeutics Inc. (PTCT),47.39,2.31,5.12
SKE,Skeena Resources Ltd. (SKE),11.98,0.58,5.09
COMM,CommScope Holding Co. Inc. (COMM),3.62,0.17,5.09
MOGU,MOGU Inc. ADR (MOGU),2.17,0.10,5.07
AP,Ampco-Pittsburgh Corp. (AP),2.12,0.10,4.95
DUOT,Duos Technologies Group Inc. (DUOT),5.11,0.24,4.93
GYRE,Gyre Therapeutics Inc. (GYRE),8.10,0.38,4.92
SOC,Sable Offshore Corp. Cl A (SOC),20.27,0.95,4.92
RLAY,Relay Therapeutics Inc. (RLAY),2.70,0.13,4.86
SION,Sionna Therapeutics Inc. (SION),9.34,0.43,4.83
XNCR,Xencor Inc. (XNCR),9.37,0.43,4.81
PLTR,Palantir Technologies Inc. (PLTR),97.07,4.45,4.80
MGRM,Monogram Technologies Inc. (MGRM),2.86,0.13,4.76
STRL,Sterling Infrastructure Inc. (STRL),141.66,6.43,4.75
LEGN,Legend Biotech Corp. ADR (LEGN),33.63,1.52,4.73
CVNA,Carvana Co. Cl A (CVNA),214.31,9.58,4.68
CRWD,CrowdStrike Holdings Inc. Cl A (CRWD),396.06,17.40,4.60
SPOT,Spotify Technology S.A. (SPOT),574.34,25.17,4.58
AMPY,Amplify Energy Corp. (AMPY),2.40,0.10,4.57
SEZL,Sezzle Inc. (SEZL),41.22,1.79,4.54
ADMA,ADMA Biologics Inc. (ADMA),21.84,0.94,4.47
HPE,Hewlett Packard Enterprise Co. (HPE),14.92,0.64,4.45
YEXT,Yext Inc. (YEXT),6.17,0.26,4.40
