Symbol,Name,Last Price,Change,Change %
OMH,Ohmyhome Ltd. (OMH),3.10,1.07,52.71
ULY,Urgent.ly Inc. (ULY),10.69,3.19,42.53
KALA,KALA BIO Inc. (KALA),4.60,1.03,28.85
LFMD,LifeMD Inc. (LFMD),7.80,1.70,27.87
SAIH,SAIHEAT Ltd. (SAIH),9.44,1.97,26.36
LEG,Leggett & Platt Inc. (LEG),9.08,1.81,24.90
CCM,Concord Medical Services Holdings Ltd. ADR (CCM),7.31,1.30,21.63
SAGT,Sagtec Global Ltd. (SAGT),4.65,0.81,21.09
COEP,Coeptis Therapeutics Holdings Inc. (COEP),10.83,1.86,20.74
HIMS,Hims & Hers Health Inc. (HIMS),34.36,5.88,20.65
KNSA,Kiniksa Pharmaceuticals International PLC (KNSA),25.74,4.27,19.89
CLVT,Clarivate PLC (CLVT),4.26,0.67,18.52
TZOO,Travelzoo (TZOO),14.61,2.09,16.69
FCUV,Focus Universal Inc. (FCUV),5.60,0.79,16.42
CECO,Ceco Environmental Corp. (CECO),22.14,2.94,15.31
MTSR,Metsera Inc. (MTSR),22.80,2.99,15.11
VPG,Vishay Precision Group Inc. (VPG),25.30,3.19,14.45
EPWK,EPWK Holdings Ltd. Cl A (EPWK),15.59,1.88,13.71
LZMH,LZ Technology Holdings Ltd. Cl B (LZMH),9.10,1.09,13.61
FOUR,Shift4 Payments Inc. (FOUR),89.99,10.33,12.97
JAGX,Jaguar Health Inc. (JAGX),12.05,1.38,12.93
VKTX,Viking Therapeutics Inc. (VKTX),29.28,3.34,12.86
TRS,TriMas Corp. (TRS),23.68,2.69,12.82
KRKR,36Kr Holdings Inc. ADR (KRKR),4.80,0.50,11.63
AMIX,Autonomix Medical Inc. (AMIX),2.60,0.27,11.32
NEOV,NeoVolta Inc. (NEOV),2.97,0.28,10.41
HSAI,Hesai Group ADR (HSAI),16.87,1.51,9.83
BCDA,BioCardia Inc. (BCDA),2.66,0.24,9.75
NE,Noble Corp. PLC (NE),22.97,1.97,9.38
FRGE,Forge Global Holdings Inc. (FRGE),14.51,1.24,9.34
LCFY,Locafy Ltd. (LCFY),5.51,0.47,9.33
JBIO,Jade Biosciences Inc. (JBIO),10.71,0.91,9.29
VVPR,VivoPower International PLC (VVPR),3.21,0.27,9.14
CINT,CI&T Inc. (CINT),5.97,0.50,9.09
QSG,QuantaSing Group Ltd. ADR (QSG),6.31,0.52,8.98
GPCR,Structure Therapeutics Inc. ADR (GPCR),25.70,2.08,8.83
MYNZ,Mainz Biomed N.V. (MYNZ),4.01,0.31,8.38
