symbol,price,price_change,price_percent_change
PONY,10.00,2.99,42.66
CGON,29.58,7.21,32.23
RGLS,3.57,0.81,29.34
PRTG,10.76,2.31,27.34
WOLF,4.04,0.77,23.39
RGC,35.25,6.24,21.52
ZYBT,12.60,2.16,20.69
MSGM,2.87,0.47,19.58
ALMU,9.92,1.58,18.96
PNBK,4.24,0.61,16.91
AMPY,3.14,0.45,16.73
SABR,2.53,0.34,15.52
XNET,4.47,0.59,15.15
AGEN,3.09,0.39,14.44
QSG,5.70,0.66,13.10
JNVR,58.53,6.62,12.75
NEON,12.33,1.28,11.58
UPC,4.66,0.46,10.98
AOMR,9.39,0.91,10.68
MYNZ,3.89,0.36,10.20
TMC,3.36,0.31,10.16
ADMA,23.97,2.11,9.67
CRVO,9.47,0.83,9.61
LPTH,2.40,0.21,9.59
BHVN,21.70,1.86,9.37
AMIX,2.27,0.19,9.17
LCFY,4.32,0.36,9.10
CVRX,7.34,0.61,9.09
NVEE,17.48,1.43,8.87
CDTG,2.56,0.20,8.41
FL,12.71,0.98,8.35
URGN,10.67,0.80,8.11
VEON,45.93,3.30,7.74
EPSM,8.07,0.52,6.85
TATT,27.12,1.73,6.79
ARRY,5.36,0.34,6.77
USAR,12.96,0.82,6.75
CHA,33.18,2.07,6.65
SMTK,2.46,0.15,6.51
RVMD,41.28,2.52,6.49
CLDX,20.75,1.18,6.03
RZLV,2.22,0.13,5.98
TRVG,3.86,0.21,5.91
MWYN,4.21,0.23,5.78
SOHU,10.47,0.57,5.76
IFS,33.95,1.82,5.66
TBMC,12.15,0.63,5.47
RAPP,11.20,0.58,5.46
EVH,9.46,0.48,5.35
CVAC,3.40,0.17,5.26
TIGR,8.14,0.41,5.24
NIO,4.24,0.20,5.09
BIOA,4.44,0.21,4.96
PROP,3.84,0.18,4.94
OPRA,16.28,0.75,4.83
EWTX,15.55,0.71,4.78
PCT,7.06,0.32,4.67
VRNA,68.50,3.04,4.64
ZK,21.94,0.94,4.50
SMMT,24.52,1.05,4.49
CX,6.18,0.27,4.48
KALU,63.37,2.71,4.47
SATL,3.87,0.16,4.31
EPWK,13.25,0.54,4.28
FCEL,3.98,0.16,4.19
CODA,6.99,0.28,4.17
W,30.47,1.22,4.17
LXU,5.88,0.23,4.16
HPH,8.00,0.31,4.09
LUMN,3.48,0.14,4.03
OCUL,8.02,0.31,4.02
MTSR,19.26,0.73,3.94
BBWI,30.74,1.16,3.92
CLMT,10.88,0.40,3.82
BIYA,4.04,0.14,3.64
NFE,5.72,0.20,3.62
NVCT,10.87,0.38,3.62
JACK,25.40,0.88,3.59
MREO,2.59,0.09,3.58
EVLV,4.03,0.14,3.58
SMG,54.97,1.89,3.56
VSAT,9.37,0.32,3.55
OGN,12.63,0.43,3.52
KOD,4.26,0.14,3.52
VOC,3.27,0.11,3.48
APEI,24.78,0.81,3.40
IMVT,15.22,0.50,3.40
RUN,7.64,0.25,3.38
BLUE,4.30,0.14,3.37
ARLP,28.04,0.90,3.32
BZ,14.84,0.47,3.31
LI,24.26,0.78,3.30
IRDM,23.91,0.75,3.24
SWTX,46.16,1.44,3.22
JBLU,4.00,0.12,3.22
EXTR,12.89,0.40,3.20
ETNB,7.16,0.22,3.17
POET,4.24,0.13,3.16
GENVR,5.19,0.16,3.13
TTGT,7.95,0.24,3.11
