Symbol,Name,Last Price,Change,Change %
ICCT,iCoreConnect Inc. (ICCT),4.64,2.40,107.37
CSAI,Cloudastructure Inc. Cl A (CSAI),9.06,4.62,104.03
GATE,Marblegate Acquisition Corp. (GATE),36.05,16.44,83.83
NMAX,Newsmax Inc. Cl B (NMAX),145.00,61.49,73.63
NUTX,Nutex Health Inc. (NUTX),70.94,23.91,50.84
QSG,QuantaSing Group Ltd. ADR (QSG),5.87,1.85,46.02
LSE,Leishen Energy Holding Co. Ltd. (LSE),6.15,1.67,37.28
LXEH,Lixiang Education Holding Co. Ltd. ADR (LXEH),26.50,7.13,36.81
NXU,Nxu Inc. (NXU),3.55,0.88,32.96
LGPS,LogProstyle Inc. (LGPS),3.52,0.56,18.92
CRWV,CoreWeave Inc. Cl A (CRWV),43.76,6.68,18.03
CLIK,Click Holdings Ltd. (CLIK),3.18,0.48,17.70
PVH,PVH Corp. (PVH),76.08,11.44,17.70
HSAI,Hesai Group ADR (HSAI),17.36,2.56,17.33
VTSI,VirTra Inc. (VTSI),4.70,0.63,15.48
WTF,Waton Financial Ltd. (WTF),4.55,0.55,13.75
CRVO,CervoMed Inc. (CRVO),10.28,1.13,12.35
HUBC,Hub Cyber Security Ltd. (HUBC),3.21,0.34,11.85
ALTS,ALT5 Sigma Corp. (ALTS),4.32,0.45,11.47
BNGO,Bionano Genomics Inc. (BNGO),3.10,0.31,11.16
ALMS,Alumis Inc. (ALMS),6.82,0.69,11.16
EHLD,Euroholdings Ltd. (EHLD),5.30,0.52,10.92
NOTV,Inotiv Inc. (NOTV),2.45,0.24,10.86
RUN,SunRun Inc. (RUN),6.48,0.63,10.67
CAPS,Capstone Holding Corp. (CAPS),2.65,0.24,10.16
PRGS,Progress Software Corp. (PRGS),56.65,5.14,9.98
BLND,Blend Labs Inc. (BLND),3.68,0.33,9.85
LGHL,Lion Group Holding Ltd. ADR (LGHL),3.58,0.32,9.82
ADTX,Aditxt Inc. (ADTX),4.90,0.41,9.25
OKLO,Oklo Inc. (OKLO),23.62,1.99,9.20
SURG,SurgePays Inc. (SURG),2.26,0.19,9.18
FWRG,First Watch Restaurant Group Inc. (FWRG),18.08,1.43,8.59
BZAI,Blaize Holdings Inc. (BZAI),2.19,0.17,8.42
MDCX,Medicus Pharma Ltd. (MDCX),4.03,0.31,8.34
IONQ,IonQ Inc. (IONQ),23.86,1.79,8.11
LUD,Luda Technology Group Ltd. (LUD),3.90,0.29,8.03
ASPI,ASP Isotopes Inc. (ASPI),5.07,0.38,8.00
BKKT,Bakkt Holdings Inc. (BKKT),9.36,0.69,7.96
CORZ,Core Scientific Inc. (CORZ),7.82,0.57,7.94
LFVN,Lifevantage Corp. (LFVN),15.74,1.16,7.92
USAR,USA Rare Earth Inc. (USAR),6.40,0.46,7.74
APLS,Apellis Pharmaceuticals Inc. (APLS),23.51,1.64,7.50
APLD,Applied Digital Corp. (APLD),6.04,0.41,7.38
CLSK,CleanSpark Inc. (CLSK),7.21,0.49,7.29
RIVN,Rivian Automotive Inc. Cl A (RIVN),13.36,0.91,7.28
CLPT,ClearPoint Neuro Inc. (CLPT),12.74,0.85,7.15
China,HUTCHMED (China) Ltd. ADR (HCM),16.11,1.07,7.11
JVA,Coffee Holding Co. Inc. (JVA),3.80,0.25,7.06
ZYXI,Zynex Inc. (ZYXI),2.36,0.15,7.05
FSI,Flexible Solutions International Inc. (FSI),5.40,0.35,6.93
LCID,Lucid Group Inc. (LCID),2.58,0.16,6.73
ENGS,Energys Group Ltd. (ENGS),4.80,0.30,6.67
STIM,Neuronetics Inc. (STIM),3.92,0.24,6.66
IREN,IREN Ltd. (IREN),6.48,0.40,6.49
BLMN,Bloomin' Brands Inc. (BLMN),7.64,0.47,6.49
QNTM,Quantum Biopharma Ltd. (QNTM),8.20,0.49,6.36
