symbol,price,price_change,price_percent_change
PONY,10.44,3.44,49.00
ZYBT,13.60,3.16,30.27
CGON,28.70,6.33,28.30
RGLS,3.54,0.78,28.26
WOLF,4.18,0.91,27.78
PRTG,10.32,1.87,22.07
SLSN,3.04,0.55,21.89
RGC,35.00,5.99,20.65
JNVR,61.99,10.08,19.42
LCFY,4.66,0.70,17.80
ALMU,9.78,1.44,17.27
NEON,12.93,1.88,17.01
DMAC,4.68,0.64,15.84
EDHL,4.15,0.56,15.60
UPC,4.85,0.65,15.47
MSGM,2.77,0.37,15.42
AGEN,3.10,0.40,14.98
SABR,2.52,0.33,14.84
XNET,4.44,0.56,14.39
TMC,3.48,0.43,14.26
QSG,5.75,0.71,14.09
URGN,11.23,1.36,13.78
MFH,7.47,0.85,12.84
PROP,4.12,0.46,12.43
AOMR,9.52,1.04,12.22
LPTH,2.45,0.26,11.87
AMPY,2.99,0.30,11.18
ADMA,24.15,2.29,10.48
PNBK,3.99,0.36,9.92
CHA,34.15,3.04,9.77
CRVO,9.48,0.84,9.76
AMIX,2.28,0.20,9.62
DUOT,7.32,0.63,9.42
KPTI,6.11,0.49,8.72
NVEE,17.44,1.38,8.59
CVRX,7.30,0.57,8.54
EPWK,13.78,1.07,8.39
VEEE,2.47,0.19,8.33
VEON,46.13,3.50,8.21
FL,12.64,0.92,7.80
SOHU,10.67,0.77,7.78
CLBR,12.37,0.87,7.56
SPCE,3.07,0.22,7.56
OPRA,16.69,1.16,7.47
MYNZ,3.79,0.26,7.37
TATT,27.22,1.82,7.19
RZLV,2.24,0.14,6.94
TRVG,3.89,0.25,6.87
SMMT,25.05,1.58,6.75
CLDX,20.89,1.32,6.75
MWYN,4.24,0.26,6.53
RVMD,41.29,2.52,6.50
EPSM,8.04,0.49,6.49
CCM,5.66,0.34,6.45
CIA,4.56,0.27,6.29
CDTG,2.51,0.15,6.29
USAR,12.90,0.76,6.26
CVAC,3.42,0.19,5.88
ARRY,5.31,0.29,5.78
MTSR,19.60,1.07,5.77
RAPP,11.23,0.61,5.74
SMHI,5.18,0.28,5.71
BHVN,20.96,1.11,5.62
NIO,4.26,0.23,5.58
SATL,3.92,0.20,5.53
KALU,64.01,3.35,5.52
LUMN,3.54,0.18,5.52
TIGR,8.14,0.41,5.29
VOC,3.32,0.16,5.06
TBMC,12.10,0.58,5.03
CX,6.22,0.30,4.99
SEPN,6.78,0.32,4.95
CLMT,10.98,0.51,4.82
CLCO,5.92,0.27,4.69
SND,2.16,0.10,4.60
SKBL,12.20,0.53,4.54
BBWI,30.88,1.29,4.38
OCUL,8.04,0.34,4.35
SMTK,2.41,0.10,4.33
ETNB,7.24,0.30,4.32
HHS,4.85,0.20,4.30
NVCT,10.94,0.45,4.29
ZK,21.90,0.90,4.26
CHMI,2.82,0.12,4.24
EVLV,4.06,0.17,4.24
BZ,14.96,0.60,4.21
POET,4.28,0.17,4.14
MSW,3.78,0.15,4.10
OTLY,9.68,0.38,4.09
NFE,5.74,0.23,4.08
EXTR,13.00,0.51,4.04
BIOA,4.40,0.17,4.02
VRNA,68.09,2.63,4.02
XMTR,26.16,1.00,3.99
PDYN,6.53,0.25,3.98
IMVT,15.30,0.58,3.97
FCEL,3.97,0.15,3.92
EVH,9.33,0.35,3.90
COGT,4.82,0.18,3.88
APEI,24.88,0.92,3.84
