symbol,price,price_change,price_percent_change
CEP,28.83,12.33,74.75
TMC,3.58,1.03,40.35
PONY,7.23,1.80,33.15
XELB,3.02,0.72,31.59
AREB,3.96,0.89,29.02
EPSM,6.91,1.53,28.46
AMBP,3.54,0.78,28.08
ZYBT,10.01,2.19,28.01
AREN,4.21,0.85,25.32
ENGS,9.15,1.83,25.06
PLL,8.80,1.65,23.08
STAK,2.89,0.54,22.98
BCTX,6.67,1.24,22.83
ELPW,3.30,0.61,22.68
CYH,2.96,0.53,21.60
UPXI,13.34,2.33,21.19
OST,2.53,0.44,21.05
SINT,2.70,0.46,20.73
SHYF,8.80,1.50,20.55
WOLF,3.10,0.53,20.43
EPWK,9.58,1.46,17.97
USAR,12.84,1.96,17.97
VCIG,4.71,0.71,17.75
KWE,5.40,0.81,17.74
ZENA,2.57,0.38,17.34
MBOT,2.42,0.34,16.27
WIMI,5.73,0.80,16.18
PI,89.41,12.34,16.01
SURG,3.05,0.42,15.97
UMAC,6.14,0.84,15.85
FARO,30.52,4.12,15.61
DDC,2.54,0.34,15.45
NOW,935.44,122.74,15.10
HAS,60.63,7.94,15.07
HZO,22.18,2.86,14.80
SHFS,3.78,0.48,14.57
GSRTR,2.70,0.34,14.41
ECOR,7.50,0.91,13.81
CTGO,15.20,1.80,13.43
CSIQ,8.88,1.02,12.98
MTLS,5.23,0.60,12.96
AOSL,19.67,2.24,12.85
BKKT,10.21,1.16,12.82
BKSY,8.10,0.90,12.50
LU,2.94,0.33,12.40
MCHP,47.10,5.17,12.33
NNE,23.02,2.50,12.17
AAOI,13.06,1.40,12.01
PSIX,26.91,2.86,11.89
NFE,5.84,0.61,11.78
TOI,3.22,0.34,11.63
SPCB,7.90,0.82,11.58
TTGT,7.95,0.81,11.34
SERV,6.57,0.67,11.28
PCT,7.00,0.69,11.03
LSCC,48.74,4.84,11.03
MP,25.40,2.51,10.97
RMD,237.85,23.41,10.92
APLD,4.53,0.45,10.91
UAMY,3.82,0.38,10.90
TECX,21.66,2.12,10.85
INDV,10.47,1.02,10.79
TREE,51.38,4.98,10.73
DPRO,2.79,0.27,10.71
SMCI,36.41,3.51,10.67
IRBT,2.32,0.22,10.55
SNT,3.51,0.33,10.38
ALLE,139.32,12.86,10.17
HOLO,12.74,1.17,10.06
URI,648.36,59.15,10.04
SITM,151.53,13.79,10.01
QUBT,7.00,0.64,9.97
OBLG,3.43,0.31,9.94
ENTG,79.61,7.12,9.82
PAL,9.08,0.81,9.79
KVYO,28.81,2.57,9.79
SEZL,47.00,4.16,9.71
CVLG,20.58,1.78,9.49
OCX,3.23,0.28,9.49
AEVA,7.38,0.64,9.42
CRBP,8.09,0.69,9.40
VSH,12.84,1.10,9.37
MKSI,74.16,6.25,9.20
SMHI,4.95,0.42,9.19
TALK,3.09,0.26,9.19
IPI,32.67,2.73,9.13
NB,2.82,0.23,9.07
INV,4.69,0.39,9.07
FTI,27.29,2.26,9.03
CACI,461.55,38.18,9.02
SMTC,29.59,2.44,8.99
HCSG,13.28,1.09,8.94
ASTS,24.41,1.99,8.88
QMCO,11.32,0.92,8.85
PRCH,5.57,0.46,9.00
AMSC,20.20,1.64,8.80
ALGM,19.06,1.54,8.79
FCFS,131.31,10.60,8.78
ON,39.83,3.21,8.77
TSE,3.85,0.31,8.76
