Symbol,Name,Last Price,Change,Change %
PEGA,Pegasystems Inc.,88.8775,20.1175,29.25756
DJTWW,Trump Media & Technology Group ,16.5,2.62,18.876081
TEM,"Tempus AI, Inc.",50.91,7.6800003,17.76544
TNXP,Tonix Pharmaceuticals Holding C,17.42,2.46,16.44385
SMMT,Summit Therapeutics Inc.,31.58,4.2299995,15.466177
DJT,Trump Media & Technology Group ,26.55,2.8999996,12.262156
TLX,Telix Pharmaceuticals Limited,18.72,2.0499992,12.297536
VRT,"Vertiv Holdings, LLC",80.19,8.370003,11.654139
ACHR,Archer Aviation Inc.,8.125,0.78499985,10.69482
ATI,ATI Inc.,50.58,4.970001,10.896736
APPN,Appian Corporation,29.62,2.880001,10.770386
ROOT,"Root, Inc.",149.615,14.665009,10.866994
SMCI,"Super Micro Computer, Inc.",33.87,3.289999,10.758663
SMTC,Semtech Corporation,27.25,2.5599995,10.368567
DUOL,"Duolingo, Inc.",371.76,35.420013,10.531014
APH,Amphenol Corporation,72.65,6.9000015,10.494298
MKSI,"MKS Instruments, Inc.",69.33,6.470001,10.292716
BNTX,BioNTech SE,115.08,10.400002,9.91326
OKLO,Oklo Inc.,23.61,2.08,9.660938
LITE,Lumentum Holdings Inc.,56.765,5.125,9.924478
MANH,"Manhattan Associates, Inc.",178.39,16.14,9.947612
COHR,Coherent Corp.,60.435,5.3050003,9.62271
CRDO,Credo Technology Group Holding ,40.535,3.5149994,9.488458
ALAB,"Astera Labs, Inc.",60.595,5.285,9.555234
FRGE,"Forge Global Holdings, Inc.",12.9144,1.1043997,9.351395
XPEV,XPeng Inc.,20.775,1.7049999,8.940744
MBLY,Mobileye Global Inc.,13.06,1.0100002,8.381744
KVYO,"Klaviyo, Inc. Series A",26.54,2.0900002,8.548058
PLTR,Palantir Technologies Inc.,101.9494,7.959404,8.469199
MRVL,"Marvell Technology, Inc.",54.79,4.170002,8.237854
AFRM,"Affirm Holdings, Inc.",47.45,3.630001,8.283892
TSLA,"Tesla, Inc.",257.425,19.454987,8.175395
ZETA,Zeta Global Holdings Corp.,12.23,0.9199991,8.134386
RKLB,"Rocket Lab USA, Inc.",20.59,1.5499992,8.140752
SITM,SiTime Corporation,140.98,10.569992,8.105201
PCVX,"Vaxcyte, Inc.",33.8,2.539999,8.125397
RIOT,"Riot Platforms, Inc.",7.695,0.5750003,8.075847
SOUN,"SoundHound AI, Inc.",8.785,0.6449995,7.923827
SAP,SAP  SE,272.37,19.970001,7.9070325
CLS,"Celestica, Inc.",89.235,6.465004,7.810806
RGTI,"Rigetti Computing, Inc.",9.205,0.6350002,7.409571
EWBC,"East West Bancorp, Inc.",85.365,6.154999,7.770482
GTLS,"Chart Industries, Inc.",130.37,9.31,7.690402
W,Wayfair Inc.,29.47,2.0299988,7.3979545
CRS,Carpenter Technology Corporatio,191.01,13.62999,7.6840625
CORT,Corcept Therapeutics Incorporat,69.61,4.9300003,7.6139
UPST,"Upstart Holdings, Inc.",45.09,3.1599998,7.5363703
KC,Kingsoft Cloud Holdings Limited,12.585,0.8850002,7.5608735
CAMT,Camtek Ltd.,64.89,4.700001,7.8255086
WAB,Westinghouse Air Brake Technolo,184.605,12.845001,7.4784594
PCOR,"Procore Technologies, Inc.",61.485,4.255001,7.434914
DELL,Dell Technologies Inc.,90.23,6.1500015,7.3144636
ALGM,"Allegro MicroSystems, Inc.",17.99,1.2199993,7.2748914
WGS,GeneDx Holdings Corp.,104.11,7.220001,7.4517508
CIEN,Ciena Corporation,63.84,4.34,7.2941175
NWL,Newell Brands Inc.,5.065,0.34500027,7.309328
APP,Applovin Corporation,254.895,17.184998,7.229396
HOOD,"Robinhood Markets, Inc.",45.1,3.0099983,7.151338
GLOB,Globant S.A.,112.67,7.739998,7.3763437
SG,"Sweetgreen, Inc.",18.41,1.2399998,7.221897
SHOP,Shopify Inc.,91.68,5.970001,6.9653497
CAVA,"CAVA Group, Inc.",87.16,5.8600006,7.2078724
RIVN,"Rivian Automotive, Inc.",12.155,0.7950001,6.9982405
GH,"Guardant Health, Inc.",46.8,3.0,6.846189
PSTG,"Pure Storage, Inc.",43.19,2.829998,7.0114536
MDB,"MongoDB, Inc.",162.94,10.790009,7.091692
SNOW,Snowflake Inc.,149.765,9.535004,6.7995462
MOD,Modine Manufacturing Company,77.185,4.9850006,6.9044333
S,"SentinelOne, Inc.",17.5,1.1399994,6.968211
PAYO,Payoneer Global Inc.,6.71,0.42000008,6.6772666
BPOP,"Popular, Inc.",95.75,6.2699966,7.0071483
CFLT,"Confluent, Inc.",22.035,1.3950005,6.7587233
RNA,"Avidity Biosciences, Inc.",31.46,2.0099983,6.8251214
UEC,Uranium Energy Corp.,5.19,0.3499999,7.2314034
MTSI,MACOM Technology Solutions Hold,102.38,6.5099945,6.7904396
POWL,"Powell Industries, Inc.",177.06,11.214996,6.7623363
AMD,"Advanced Micro Devices, Inc.",91.89,5.6299973,6.5267763
MPWR,"Monolithic Power Systems, Inc.",546.095,34.274963,6.696683
HIMS,"Hims & Hers Health, Inc.",27.065,1.7150002,6.7652864
NOW,"ServiceNow, Inc.",818.07,51.23999,6.682053
ROKU,"Roku, Inc.",63.13,3.9000015,6.5845037
ASTS,"AST SpaceMobile, Inc.",22.665,1.3650017,6.4084587
IONQ,"IonQ, Inc.",27.1514,1.5914001,6.2261353
ZWS,Zurn Elkay Water Solutions Corp,33.19,2.0599995,6.617409
NET,"Cloudflare, Inc.",113.84,7.029999,6.58178
NTNX,"Nutanix, Inc.",63.675,3.8950005,6.5155582
VST,Vistra Corp.,119.59,6.959999,6.179525
INTC,Intel Corporation,20.775,1.2649994,6.4838514
PI,"Impinj, Inc.",79.19,4.9000015,6.5993285
DOCN,"DigitalOcean Holdings, Inc.",28.4,1.7199993,6.4467745
CORZ,"Core Scientific, Inc.",7.365,0.4449997,6.430631
FN,Fabrinet,188.505,11.3650055,6.415832
