symbol,price,price_change,price_percent_change
FRGE,14.21,4.58,47.58
VERV,5.28,1.16,28.03
IE,5.96,0.91,18.10
DWTX,3.54,0.54,18.06
ALGS,5.35,0.74,16.05
USAR,13.55,1.80,15.32
JNVR,75.72,9.78,14.84
HMR,3.15,0.36,12.83
DTIL,5.01,0.55,12.33
RKLB,21.42,2.29,11.97
AMPY,2.56,0.26,11.09
CRVS,3.34,0.32,10.40
NB,2.69,0.25,10.07
VERO,4.10,0.35,9.33
ERIC,8.10,0.66,8.79
PHIO,2.39,0.19,8.64
BCYC,7.68,0.61,8.63
MTSR,19.69,1.51,8.31
VCIG,2.80,0.21,8.30
EOSE,4.54,0.32,7.46
RDW,9.74,0.66,7.30
GRRR,19.40,1.29,7.12
AUID,7.55,0.50,7.09
RGNX,6.76,0.43,6.79
LEGN,34.26,2.15,6.70
STRL,144.27,9.04,6.68
EWTX,13.14,0.81,6.55
RCKT,6.29,0.38,6.43
COGT,4.87,0.29,6.33
HPE,15.16,0.89,6.20
NMAX,27.61,1.61,6.19
DOMH,4.15,0.24,6.14
SRRK,30.67,1.74,6.01
UAA,5.76,0.32,5.88
PRCH,5.62,0.30,5.73
CVNA,215.81,11.08,5.41
TTAN,111.06,5.70,5.40
ULCC,3.33,0.17,5.38
TMC,2.98,0.15,5.30
FFWM,4.98,0.24,5.06
ALDX,2.22,0.10,4.95
VNET,5.77,0.27,4.91
GRAL,26.05,1.20,4.83
XERS,4.36,0.20,4.74
UA,5.41,0.24,4.64
PTGX,47.08,2.04,4.54
RXRX,5.76,0.25,4.48
BAC,38.30,1.64,4.46
SMR,15.92,0.68,4.43
SMFG,13.69,0.58,4.42
BKSY,7.58,0.31,4.26
CAPR,9.80,0.40,4.26
DCOM,25.51,1.02,4.16
CLS,84.23,3.35,4.14
YALA,6.32,0.25,4.12
CRVO,10.07,0.40,4.08
SEZL,41.03,1.60,4.06
WXM,2.58,0.10,4.03
MGTX,5.70,0.22,4.01
NFLX,968.62,37.34,4.01
MBOT,2.37,0.09,3.95
COMM,3.58,0.14,3.92
AUR,6.26,0.23,3.90
RLAY,2.67,0.10,3.89
ABSI,3.21,0.12,3.88
ZI,8.31,0.31,3.88
MindMed,5.76,0.21,3.87
MOGU,2.15,0.08,3.86
BCS,14.82,0.55,3.85
PL,3.26,0.12,3.82
SLQT,3.28,0.12,3.80
OKLO,23.43,0.88,3.90
TNXP,16.75,0.60,3.72
WAL,66.28,2.35,3.68
VSAT,8.70,0.31,3.66
AEVA,7.44,0.26,3.62
SMCI,34.31,1.19,3.59
FLWS,5.51,0.19,3.57
TSSI,7.60,0.26,3.54
MXL,10.25,0.35,3.54
ERJ,44.60,1.50,3.49
WOLF,2.22,0.07,3.49
SAN,6.76,0.23,3.44
OBE,4.89,0.16,3.42
ACRE,3.80,0.13,3.40
DSGN,3.36,0.11,3.38
GILT,6.26,0.20,3.38
QMCO,12.60,0.41,3.36
ALK,46.52,1.51,3.35
KSCP,3.10,0.10,3.33
PLTR,95.67,3.05,3.29
SVRA,3.00,0.10,3.28
SKE,11.77,0.37,3.25
LUNR,7.98,0.25,3.23
CRDF,2.88,0.09,3.23
NU,10.99,0.34,3.21
RBLX,58.73,1.82,3.20
MGNI,9.99,0.31,3.20
RUN,7.04,0.22,3.20
LNW,81.24,2.51,3.19
