symbol,price,price_change,price_percent_change
SNOA,3.72,1.39,59.65
AREB,3.14,0.93,42.09
TIL,21.76,5.27,31.96
UPXI,11.87,2.87,31.89
MIND,7.15,1.71,31.43
PONY,5.46,1.30,31.25
PEGA,88.70,19.94,29.00
BSLK,6.84,1.53,28.81
MCRB,10.44,2.28,27.94
CEP,13.52,2.90,27.35
RZLT,3.90,0.79,25.24
PLUR,5.88,1.08,22.60
AVR,4.27,0.76,21.65
SCLX,4.80,0.81,20.30
HCSG,11.32,1.91,20.30
NVAX,7.40,1.16,18.48
KRRO,19.28,2.94,18.03
MAXN,3.22,0.49,17.95
AREN,2.98,0.45,17.78
JNVR,52.54,7.68,17.12
GRAL,34.55,4.86,16.37
FATN,11.66,1.56,15.45
NDRA,3.55,0.46,15.06
KOD,4.18,0.54,14.78
TEM,49.60,6.38,14.75
BLIV,4.31,0.55,14.63
COMM,3.68,0.45,13.78
BCAX,15.69,1.87,13.53
SMMT,30.99,3.64,13.31
SPAI,3.89,0.43,12.59
QBTS,7.04,0.79,12.56
PSIX,23.65,2.63,12.51
GENVR,4.84,0.54,12.44
VNET,5.48,0.60,12.42
TSSI,7.54,0.82,12.20
SERV,5.91,0.64,12.14
YSG,4.55,0.47,11.52
VRT,79.89,8.07,11.24
BLFS,24.34,2.45,11.19
INOD,34.72,3.48,11.16
PNBK,3.46,0.34,11.06
XGN,5.37,0.53,10.95
API,2.91,0.28,10.65
TRVG,3.85,0.37,10.63
LITE,57.06,5.42,10.50
NUKK,15.80,1.50,10.49
SWIM,5.46,0.52,10.43
DYN,10.94,1.03,10.39
CRSR,6.63,0.60,9.95
BNTX,115.06,10.38,9.92
SBEV,7.44,0.67,9.90
AEVA,6.75,0.57,9.22
ATI,50.10,4.50,9.86
BTCT,4.15,0.37,9.78
MKSI,69.00,6.14,9.77
APPN,29.35,2.61,9.76
TMDE,5.75,0.51,9.73
RGNX,8.58,0.76,9.72
SMTC,27.06,2.37,9.60
APH,72.06,6.31,9.60
AAOI,12.00,1.05,9.59
DUOL,368.56,32.22,9.58
HOUS,3.16,0.28,9.52
PGY,10.27,0.89,9.49
QLGN,4.17,0.36,9.45
AMPX,2.38,0.20,9.45
QMCO,10.85,0.93,9.37
GTLS,132.31,11.25,9.29
WTF,8.25,0.70,9.27
ALGT,45.58,3.86,9.25
COHR,60.22,5.09,9.23
XYF,12.70,1.06,9.15
ROOT,147.26,12.31,9.12
KVYO,26.68,2.23,9.12
LOMA,11.75,0.98,9.12
ACMR,20.12,1.68,9.08
CRDO,40.36,3.35,9.04
UCTT,20.54,1.70,8.99
VVPR,2.76,0.23,8.86
SITM,141.96,11.55,8.86
VREX,7.93,0.64,8.78
FHTX,4.61,0.37,8.73
ENGS,6.36,0.51,8.72
MSW,3.65,0.29,8.63
SAP,274.05,21.65,8.58
ZETA,12.28,0.97,8.58
XPEV,20.70,1.64,8.57
USAR,11.13,0.88,8.57
HSAI,14.21,1.12,8.56
PLX,2.86,0.23,8.56
AGX,145.47,11.46,8.55
RNST,31.06,2.43,8.49
ICHR,19.11,1.50,8.48
SMCI,33.17,2.59,8.47
RBRK,67.08,5.19,8.39
AGEN,3.11,0.24,8.36
EWBC,85.82,6.61,8.34
TLS,2.80,0.21,8.33
TNXP,16.20,1.25,8.32
LX,7.95,0.61,8.31
