symbol,price,price_change,price_percent_change
PONY,6.869,1.4390001,26.496044
PI,89.69,12.620003,16.374727
HAS,60.97,8.280003,15.714561
NOW,932.67,119.96997,14.761901
LSCC,48.38,4.4799995,10.205009
RMD,236.125,21.684998,10.112385
MP,25.2,2.3100014,10.091749
MCHP,45.99,4.0600014,9.682808
ALLE,138.895,12.435005,9.833153
SITM,151.105,13.36499,9.703056
CACI,462.215,38.845,9.17519
ASTS,24.3699,1.9498997,8.697144
URI,642.0499,52.839905,8.967923
SOUN,9.49,0.7399998,8.458493
FTI,27.01,1.9799995,7.9105053
FCFS,130.45,9.739998,8.068924
ALGM,18.88,1.3599987,7.76255
MKSI,72.915,5.0049973,7.370044
TEAM,223.55,15.279999,7.3366294
KYMR,32.9,2.2000008,7.1661263
ENTG,77.555,5.0650024,6.987174
ON,39.14,2.5200005,6.881487
IONQ,28.6834,1.8834,7.027612
EW,75.31,4.8499985,6.883336
SEIC,77.935,4.9349976,6.7602706
ADI,195.085,11.975006,6.5397882
LFUS,173.77,10.820007,6.640078
HOOD,47.65,2.9900017,6.695033
MRVL,57.34,3.5699997,6.6393895
RKLB,21.61,1.3199997,6.5056663
KVYO,27.925,1.6849995,6.4214916
FN,198.71,11.889999,6.357779
RMBS,48.8,2.8600006,6.225513
NTDOY,19.73,1.2099991,6.533472
APP,268.6505,16.300507,6.460267
SMTC,28.904,1.7539997,6.463737
NVMI,193.015,11.154999,6.1338387
SLAB,101.99,5.8600006,6.0959125
TWLO,92.47,5.340004,6.1287775
CYTK,40.23,2.2299995,5.8684196
CLS,93.485,5.294998,6.00408
NXPI,191.91,11.040009,6.1038365
CRWD,409.6317,23.881714,6.1909823
VRT,82.84,4.8399963,6.207511
IRDM,22.885,1.3150005,6.096433
MDB,172.6583,9.998291,6.1467423
HUBS,599.875,33.914978,5.992469
ANET,74.83,4.0699997,5.751837
ESI,20.345,1.125,5.853278
TXN,161.25,9.100006,5.980944
ALAB,63.57,3.4199982,5.6857824
MPWR,566.97,30.0,5.5869045
AMTM,20.84,1.0900002,5.518988
WDC,39.83,2.130001,5.64987
CORZ,7.5188,0.3987999,5.604113
FRSH,13.505,0.7250004,5.67293
LRCX,70.5,3.7699966,5.6496277
GTLB,45.335,2.415001,5.62675
TLX,19.335,1.0349998,5.655737
BRZE,29.86,1.5200005,5.3634453
LVS,36.27,1.8899994,5.4973803
GEV,354.05,17.959991,5.3438044
CRDO,42.695,2.204998,5.445784
COHR,62.55,3.209999,5.409503
U,22.105,1.1549988,5.5131207
BE,18.2,0.94000053,5.446121
FCX,37.12,1.9300003,5.4845138
MNDY,261.495,13.50499,5.4457803
CFLT,22.96,1.1899986,5.4662313
PODD,259.62,13.12999,5.326784
SNOW,155.235,7.845001,5.322614
BHVN,22.52,1.1000004,5.1401887
KKR,112.52,5.709999,5.3459406
HIMS,28.055,1.3450012,5.0365148
STX,82.29,4.2000046,5.3784156
EDU,46.445,2.3549995,5.3480177
CDNS,279.295,13.875,5.2275634
APH,75.0,3.8499985,5.411101
ST,21.18,1.0599995,5.268387
VICR,50.26,2.5099983,5.256541
AI,21.44,1.0500011,5.149589
DXCM,70.155,3.2949982,4.9282055
ELF,59.59,2.75,4.838142
NBIS,24.095,1.1350002,4.943381
STM,22.885,1.1049995,5.0734596
FAF,62.65,2.9500008,4.9413743
QRVO,62.81,2.9000015,4.8405967
HTZ,8.865,0.3899994,4.599049
BX,133.26,6.2599945,4.9291296
GFS,34.71,1.5999985,4.832372
TEL,142.71,6.650009,4.8875566
UPST,46.13,2.1500015,4.8885894
HRI,110.14,5.300003,5.0553255
ZS,210.115,9.525009,4.7484965
SMCI,34.4801,1.5800972,4.8027267
CRM,262.135,11.655014,4.653072
TECK,36.58,1.7000008,4.873855
CORT,72.48,3.2100067,4.634051
AEIS,95.82,4.330002,4.73276
DOCN,29.5045,1.2544994,4.440706
