symbol,price,price_change,price_percent_change
AEXAY,9.0,8.9991,999900.0
PONY,9.73,2.7199993,38.8017
CGON,29.94,7.5699997,33.839962
SQNNY,25.29,4.3900013,21.004791
TXHPF,20.035,2.0349998,11.305554
ADMA,24.0,2.1399994,9.789567
BHVN,21.72,1.8799992,9.475801
VEON,45.8,3.1699982,7.4360733
GMVHY,8.36,0.5499997,7.0422497
RVMD,41.33,2.5600014,6.603047
LKNCY,34.79,1.7999992,5.4561963
IFS,33.905,1.7749977,5.5244246
OTLY,9.75,0.4499998,4.8387074
ZK,21.985,0.9850006,4.6904793
VRNA,68.38,2.9199982,4.4607368
SMMT,24.56,1.0949993,4.6665215
CX,6.185,0.26499987,4.476349
W,30.47,1.2199993,4.170938
BBWI,30.77,1.1900005,4.02299
ANGPY,5.81,0.21000004,3.7500007
OGN,12.64,0.44000053,3.606562
SMG,54.97,1.8899994,3.5606618
IMVT,15.245,0.5249996,3.5665734
LI,24.245,0.7650013,3.257404
ARLP,28.08,0.94000053,3.4686365
BZ,14.805,0.44500065,3.0988903
SWTX,46.155,1.4349976,3.2088497
HCM,15.07,0.46000004,3.1485288
SNAP,8.805,0.26500034,3.1030486
SEM,17.88,0.5299988,3.054748
IRDM,23.855,0.6949997,3.0008624
MNSO,17.565,0.5150013,3.0205357
