symbol,price,price_change,price_percent_change
TIVC,9.05,5.55,158.57
OBLG,3.28,1.14,53.27
FMTO,9.16,3.16,52.67
Security Matters,2.48,0.38,17.77
BTCT,3.92,0.57,17.01
BULL,28.70,4.08,16.57
KSCP,5.32,0.70,15.15
NG,3.56,0.46,14.63
PCT,6.35,0.79,14.11
ATPC,2.36,0.29,14.03
CIFR,2.66,0.33,13.89
MASS,5.44,0.65,13.44
SEDG,13.68,1.58,13.06
CALX,37.57,4.32,12.99
HSAI,13.09,1.48,12.75
HOLO,13.75,1.55,12.70
FSLR,137.61,15.16,12.38
BTDR,8.53,0.93,12.24
WULF,2.52,0.27,11.78
GLTO,2.70,0.28,11.57
EFX,238.94,23.64,10.98
MCRB,8.27,0.79,10.53
CLSK,8.26,0.79,10.51
SXTP,3.49,0.33,10.44
ZYBT,8.50,0.80,10.39
AMRC,9.53,0.87,10.05
IVZ,13.71,1.25,10.03
CAPR,13.06,1.14,9.56
CVNA,214.50,18.68,9.54
ROOT,129.00,10.61,8.96
HTZ,8.52,0.69,8.88
IREN,5.98,0.47,8.61
ONC,247.97,18.75,8.18
AMLX,4.58,0.34,8.16
SRAD,24.88,1.88,8.15
PNR,85.36,6.40,8.11
WGS,98.40,7.36,8.08
ATYR,3.54,0.27,8.08
GPRE,3.56,0.27,8.03
Cayman,2.50,0.18,8.01
HUT,11.48,0.84,7.91
RIOT,6.78,0.49,7.79
QSG,4.18,0.30,7.73
MTSR,21.00,1.49,7.61
VERV,5.13,0.35,7.33
BCTX,4.49,0.30,7.26
TEM,43.95,2.97,7.25
MMM,135.16,9.06,7.19
DGX,173.28,11.43,7.06
PAGS,9.06,0.59,6.97
AGEN,2.47,0.16,6.93
CATY,41.26,2.66,6.88
VCIG,3.04,0.20,6.87
PRCH,4.98,0.32,6.87
GOTU,2.81,0.18,6.84
BHC,5.04,0.32,6.78
WIMI,4.80,0.30,6.67
MARA,13.10,0.81,6.63
TAL,10.65,0.66,6.61
CADL,4.80,0.29,6.54
DYN,9.94,0.61,6.54
NFLX,1051.50,63.59,6.44
ZLAB,31.60,1.89,6.36
SEZL,41.00,2.41,6.24
PHM,98.89,5.78,6.21
SGMT,2.54,0.14,6.07
LTBR,7.53,0.43,6.06
QURE,14.09,0.80,6.03
GRAL,28.00,1.58,6.00
MVST,2.22,0.13,5.98
ATKR,60.09,3.36,5.92
MGTX,5.98,0.33,5.84
RH,164.84,9.05,5.81
MSTR,336.00,18.23,5.74
PRTG,9.61,0.52,5.72
COIN,184.93,9.93,5.68
HOOD,42.11,2.26,5.67
DHR,195.31,10.35,5.60
OKLO,21.52,1.14,5.57
RGNX,7.03,0.36,5.45
AAOI,10.60,0.55,5.42
EOSE,4.76,0.24,5.42
BRFS,3.73,0.19,5.37
VSTM,6.54,0.33,5.31
SPOT,588.22,29.39,5.26
VSCO,17.23,0.86,5.25
PCVX,31.97,1.58,5.20
VRRM,22.08,1.09,5.19
CORZ,6.72,0.33,5.16
DAO,8.15,0.40,5.16
YALA,6.77,0.33,5.12
STKL,3.90,0.19,5.12
NRG,97.79,4.70,5.05
RWT,5.74,0.27,5.00
COHR,54.72,2.60,5.00
CC,11.88,0.56,4.95
GDS,22.24,1.03,4.83
WOLF,2.57,0.12,4.83
NTRS,90.83,4.05,4.67
CRDO,36.52,1.66,4.76
