symbol,price,price_change,price_percent_change
PEGA,88.81,20.049995,29.159388
TEM,49.59,6.3600006,14.725633
SMMT,31.01,3.6599998,13.382084
VRT,80.0699,8.249901,11.509333
LITE,57.1,5.459999,10.573196
TLX,18.3614,1.6914005,10.122934
BNTX,114.92,10.239998,9.769126
ATI,50.105,4.494999,9.855292
MKSI,69.0,6.1399994,9.767736
APPN,29.35,2.6100006,9.76066
SMTC,27.06,2.369999,9.599024
APH,72.12,6.3700027,9.688216
DUOL,368.415,32.075012,9.536485
GTLS,132.31,11.25,9.2929125
COHR,60.22,5.09,9.232722
ROOT,147.0864,12.136398,8.993257
CRDO,40.34,3.3199997,8.968124
SITM,141.96,11.550003,8.856685
KVYO,26.68,2.2299995,9.120652
DJTWW,15.1,1.2200003,8.758079
SAP,274.05,21.649994,8.577653
ZETA,12.28,0.9699993,8.576474
RBRK,67.08,5.1900024,8.38585
SMCI,33.185,2.6050014,8.520038
XPEV,20.725,1.6550007,8.678556
EWBC,85.8072,6.5971985,8.325297
ALAB,59.8,4.489998,8.117877
ACHR,7.945,0.605,8.242507
TNXP,16.205,1.2449999,8.322191
WAB,185.39,13.630005,7.935033
ZWS,33.48,2.3500004,7.5489893
PLTR,101.3,7.310005,7.7774286
ASTS,22.96,1.6599998,7.793427
MOD,77.47,5.2700043,7.300692
KC,12.57,0.8699999,7.429546
PCOR,61.56,4.330002,7.565965
POWL,178.354,12.509003,7.5425863
CIEN,63.985,4.4850006,7.537816
CAVA,86.91,5.6100006,6.9003696
HOOD,45.27,3.1800003,7.5552397
APP,255.3201,17.610092,7.408225
OKLO,23.14,1.6099987,7.477932
DJT,25.41,1.7600002,7.441862
AFRM,47.065,3.244999,7.4052916
MANH,174.285,12.035004,7.4175677
PI,79.7,5.409996,7.282267
CRS,190.01,12.62999,7.120301
WGS,103.765,6.875,7.0956755
AUR,6.585,0.43499994,7.073169
PCVX,33.51,2.249998,7.197691
MDB,162.74,10.590012,6.960245
TSLA,254.56,16.589996,6.9714656
MRVL,54.2271,3.6071014,7.1258426
SOUN,8.7203,0.5802994,7.1204996
BOOT,99.17,5.8499985,6.2687516
ALGM,17.905,1.1350002,6.768039
XIACF,6.2,0.39999962,6.896545
HNHPF,8.75,0.5600004,6.837612
SHOP,91.565,5.8550034,6.831179
UEC,5.1701,0.33010006,6.820249
MTSI,102.36,6.489998,6.769581
VIK,40.595,2.5950012,6.8289504
CAMT,64.26,4.0700035,6.7619267
CLS,88.36,5.590004,6.7536592
AS,23.72,1.4699993,6.6037707
NWL,5.035,0.31500006,6.6737304
VST,119.955,7.3250046,6.5036
FIX,362.93,22.6,6.6406136
STRL,142.635,8.714996,6.5076137
RIOT,7.585,0.46500015,6.530901
DELL,89.59,5.5099945,6.553276
MBLY,12.85,0.8000002,6.639005
HIMS,27.0,1.6499996,6.5088744
XIACY,30.8,1.8799992,6.5006886
RKLB,20.3198,1.2797985,6.7216306
HRI,109.14,6.800003,6.6445217
FN,188.45,11.309998,6.384779
AKZOY,21.0,1.2600002,6.38298
STEP,49.305,2.9550018,6.3754086
PWR,278.83,16.97998,6.484621
DOCN,28.28,1.6000004,5.9970026
AEIS,93.65,5.540001,6.287596
NET,113.49,6.6800003,6.254096
NOW,814.785,47.954956,6.2536616
PRCT,56.0711,3.271099,6.195264
BA,172.78,10.2599945,6.313066
RTX,120.62,6.8700027,6.0395627
BPOP,94.99,5.5099945,6.1577945
ROKU,62.85,3.619999,6.111766
IESC,188.33,10.809998,6.089453
MPWR,542.65,30.830017,6.0236053
CORZ,7.34,0.42000008,6.069365
FANUY,12.94,0.7399998,6.065572
MNDY,252.08,14.410004,6.0630302
OWL,17.975,1.0150013,5.984678
NTNX,63.35,3.5699997,5.9718966
JBSAY,16.59,0.9300003,5.9386992
SNOW,148.495,8.264999,5.8938885
PSTG,42.75,2.3899994,5.921703
GFS,33.52,1.8100014,5.707983
