Symbol,Name,Last Price,Change,Change %
BRPHF,Galaxy Digital Holdings Ltd.,,12.84+1.86(+16.94%),+1.86
CLSK,"CleanSpark, Inc.",,8.69+1.22(+16.40%),+1.22
HTZ,"Hertz Global Holdings, Inc.",,9.07+1.24(+15.84%),+1.24
EFX,Equifax Inc.,,244.57+29.28(+13.60%),+29.28
RIOT,"Riot Platforms, Inc.",,7.11+0.82(+12.96%),+0.82
FSLR,"First Solar, Inc.",,137.10+14.65(+11.96%),+14.65
HCM,HUTCHMED (China) Limited,,15.51+1.61(+11.63%),+1.61
PAGS,PagSeguro Digital Ltd.,,9.40+0.93(+11.04%),+0.93
MARA,"MARA Holdings, Inc.",,13.66+1.38(+11.19%),+1.38
CALX,"Calix, Inc.",,36.76+3.51(+10.54%),+3.51
CVNA,Carvana Co.,,216.42+20.59(+10.51%),+20.59
MSTR,Strategy Incorporated,,347.00+29.24(+9.20%),+29.24
COIN,"Coinbase Global, Inc.",,191.00+16.00(+9.14%),+16.00
FUJIY,FUJIFILM Holdings Corporation,,10.33+0.91(+9.66%),+0.91
XIACF,Xiaomi Corporation,,5.77+0.47(+8.87%),+0.47
XIACY,Xiaomi Corporation,,28.79+2.34(+8.85%),+2.34
SRAD,Sportradar Group AG,,25.05+2.04(+8.86%),+2.04
STNE,StoneCo Ltd.,,13.10+1.04(+8.66%),+1.04
IVZ,Invesco Ltd.,,13.58+1.12(+8.99%),+1.12
ATKR,Atkore Inc.,,61.50+4.77(+8.41%),+4.77
DNLI,Denali Therapeutics Inc.,,14.28+1.13(+8.59%),+1.13
SWTX,"SpringWorks Therapeutics, Inc.",,40.14+3.08(+8.31%),+3.08
PNR,Pentair plc,,85.31+6.35(+8.04%),+6.35
ZLAB,Zai Lab Limited,,32.04+2.33(+7.85%),+2.33
PHM,"PulteGroup, Inc.",,100.29+7.18(+7.72%),+7.18
